Jornada,Fecha,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha
1,13 Ago 2319:30Finalizado,0,9,10,0,0,-3,0
2,20 Ago 2322:00Finalizado,0,15,4,0,0,-9,1
3,27 Ago 2321:30Finalizado,-2,19,0,1,0,-13,2
4,01 Sep 2321:30Finalizado,2,12,7,0,0,-6,2
5,09 Sep 2321:00Finalizado,-2,15,4,0,0,-9,5
6,16 Sep 2321:00Finalizado,1,12,7,0,0,-6,4
7,23 Sep 2321:00Finalizado,-1,15,4,0,0,-9,6
8,30 Sep 2321:00Finalizado,2,11,8,0,0,-5,6
9,03 Oct 2319:00Finalizado,1,10,9,0,0,-4,6
10,06 Oct 2321:00Finalizado,-2,11,8,0,0,-5,9
