Jornada,Fecha,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha
1,14 Ago 2319:00Finalizado,4,1,18,0,0,15,0
2,20 Ago 2319:30Finalizado,-3,8,11,0,0,8,3
3,27 Ago 2319:30Finalizado,-1,12,7,0,0,4,3
4,03 Sep 2321:00Finalizado,0,13,6,0,0,3,3
5,10 Sep 2318:30Finalizado,1,8,11,0,0,8,4
6,17 Sep 2314:00Finalizado,-2,14,5,0,0,2,4
7,24 Sep 2318:30Finalizado,-2,19,0,1,0,-3,4
8,01 Oct 2318:30Finalizado,1,13,6,0,0,3,4
9,05 Oct 2319:00Finalizado,-2,14,5,0,0,2,6
10,08 Oct 2316:15Finalizado,-1,17,2,0,0,-1,3
