Username,Date,Content
@juli_thor,"Oct 8, 2023","Replying to 
@forjadoslud
 and 
@CesarHurtado
Ostras cada vez creo más que estáis mal de la cabeza. Otra vez: (Albés) ""vosotros a quien preferís?""
(Algunos periodistas) ""al Levante"". Normal para que vaya más gente de Albacete. Donde está la chulería?. Os encantan los fantasmas y luego vienen los cocos
OsM"
@osmione,"Oct 7, 2023","Replying to 
@Cesar_Zamora97
 and 
@israrodenas
Lo de canalleta lo lleva utilizando Rubén Albes desde la primera semana que lleva en el Albacete, no se refiere al Levante, no... Se refiere a la afición del Alba... no se puede opinar sin saber de qué va la película.
AlbaceteFilia 🧠"
@AlbaceteFilia,"Oct 7, 2023","Replying to 
@rosalenyyy
Dime una sola cosa que hizo. De momento, preguntar en rdp a los periodistas que a quien querían para los play offs no es un motivo. Rubén albes será mejor o peor entrenador, pero tiene un saber estar y una educación como pocos. Además, eso no justifica lo que ha hecho tu club
GazzettaLUD"
@GazzettaLUD,"Oct 7, 2023","El Levante ganó y utilizó el ""sexy win"" de Rubén Albés y Calleja más eso de ""canalleta"" que no tengo ni idea de dónde sale.

Si hubiera ganado el Albacete hubiera sido al revés.

Es lo que tienen estos partidos. Uno está feliz y al derrotado le molesta todo... O seré yo 🙄
Quote
Albacete Balompié 🤍"
@AlbaceteBPSAD,"Oct 7, 2023","Que no se malinterprete nuestra falta de respuesta. Nuestro silencio dice más que cualquier tuit. Este Club y sus más de 80 años de respeto a este deporte y de fomento de la concordia entre aficiones no se pueden editar.

Buenas noches, albacetistas.
Show more
Víctor (6/40pts🏆)"
@VictacorDeLa,"Oct 7, 2023","Replying to 
@Rogermartismo
Que se la devuelva Rogermartismo a Riazorazoo vale pero que se la devuelva la cuenta oficial del Levante a la del Albacete que no ha faltado en ningún momento pues no creo que sea proporcional. Y esta vez Albés incluso fue tan sojas como Calleja así que tampoco por ahí.
Albacetazo 🤍🦇"
@GoldelAlba,"Oct 7, 2023","Madremia la de entrenadores que estoy viendo por Twitter ALBACETE.... 

Lo más acojonante de todo es ver  al manolito_albacetista de turno ( me invento nick)  dando lecciones tácticas por Twitter a Rubén albes y decirle los jugadores que están o no para jugar! TOCATE LOS HUEVOS!
El Digital de Albacete"
@ElDigitalAB,"Oct 6, 2023","Albés: ""El Albacete no fue hoy mejor que el Levante""
eldigitaldealbacete.com
Albés: ""El Albacete no fue hoy mejor que el Levante""
El entrenador del Albacete Balompié pasó por sala de prensa tras la derrota por 0-2 de su equipo ante el Levante UD. Resumió Rubén Albés el partido
cobrista"
@cobrista_abp,"Oct 6, 2023","Replying to 
@al_caleromart19
Eso ya es de payasos, a mi no me jodas. El CM del Albacete no subiría una trompeta ni aunque Albés se hubiera sacado la chorra y meado en la cara a Calleja.


Vamosmilevante"
@VamosmilevanteC,"Oct 6, 2023","¿De dónde salen los 'pseudo periodistas' de Albacete? Le dice uno a Albés lo de la jugada polémica en el 45 que entró  el VAR en la mano de Capa. Y el propio Albés ha tenido que decirle ""Era fuera del área por eso no entra el VAR"". Menudos burros
Pablo Martínez-Vilanova"
@PabloMartinezVL,"Oct 6, 2023","El Levante le tiene bien tomada la medida al Albacete. Como el año pasado, ha sido capaz de hacer mucho daño con poco balón y desarbolar a los de Rubén Albés. Estos partidos son los que mejor juega Calleja.
Albacete Balompié 🤍"
@AlbaceteBPSAD,"Oct 6, 2023","Sigue la rueda de prensa de Rubén Albés
From albacetebalompie.es
yo"
@tonilietor,"Oct 6, 2023","Replying to 
@AlbaceteBPSAD
El resumen es simple, ellos tienen un portero el Albacete un espantapájaros
Albes hoy muy mal, mal planteamiento y no saco a los mejores. Juanma no da nivel para segunda.
Buen meneo del Levante al Albacete
Vamosmilevante"
@VamosmilevanteC,"Oct 6, 2023","Últimos 5 partidos entre 
@LevanteUD
 y 
@AlbaceteBPSAD
: 
Alba 2 Levante 3
Lev 0 Alba 0
Alba 1 Lev 3
Lev 3 Alba 0
Alba 0 Lev 2 
4 victorias del Lev y 1 emp con 11 goles
La vida es eso que pasa mientras el Levante se fuma al Albacete, 
@javiercalleja_
 le enseña a Rubén Albés de fútbol
Deportes CMM"
@DeportesCMM,"Oct 6, 2023","FÚTBOL | ALBACETE

🔴 FINAL

@AlbaceteBPSAD
 0 - 2 
@LevanteUD
 

➡️ Un Levante letal a la contra impide que el Alba cierre su semana de 3 partidos con pleno 

📊 Los de Albés se quedan con 14 puntos en la zona templada"
