Username,Date,Content
@MarcosSalva21,"Aug 21, 2023","Replying to 
@Levante_Al_Dia_
 and 
@im_levyy
Crees que Calleja les pondrá a los 2?
Yo veo más que juegue uno y acompañado por Cantero, Brugué o Iván Romero, pero tal vez haga eso.
Levante Al Día 🇱🇮"
@Levante_Al_Dia_,"Aug 21, 2023","Pese a reconocer sus defectos nunca me he bajado del barco de Calleja ni he querido su cese.
Creo que es de lo mejor que podemos tener en el banquillo mientras estemos en 2ª porque construye un equipo equilibrado, que genera y difícil de ganar. Veremos cómo acaba😎
ElDesmarque Levante"
@ElDesmarque_LUD,"Aug 21, 2023","Calleja ya tiene el plan para alcanzar la victoria frente al Cartagena https://eldesmarque.com/futbol/levante-ud/20230821/calleja-ya-tiene-el-plan-para-alcanzar-la-victoria-frente-al-cartagena_300066437.html
Eric Martín Gasulla"
@Eric18Martin,"Aug 21, 2023","🔛 Javi Calleja da confianza a los fichajes:
https://ondacero.es/emisoras/comunidad-valenciana/valencia/noticias/javi-calleja-confianza-fichajes_2023082164e337ff9598e30001cdbbc0.html


Hasta ahora 7 de 10 nuevos futbolistas del Levante UD ya han debutado. El resto no tardará. El entrenador les ha dado protagonismo y el balance es bastante positivo

El análisis y detalles, vía 
@ODValencia
 🐸👇
ondacero.es
Javi Calleja da confianza a los fichajes
El técnico del Levante UD ha hecho debutar a casi la totalidad de los nuevos futbolistas disponibles en el inicio de la temporada
Levante Al Día 🇱🇮"
@Levante_Al_Dia_,"Aug 21, 2023","Replying to 
@Levante_Al_Dia_
- El Ferrol muy bien.

Y sobre el Levante: Perdemos piezas pero plantilla con más variantes y alternativas sin perder apenas nivel respecto al año pasado. En el banquillo Calleja solo tenía a Wesley, Soldado... Este año tiene mucho más.
Creo que estaremos todo el año en playoff.
GazzettaLUD"
@GazzettaLUD,"Aug 20, 2023","Saboreada la victoria:

La victoria del Levante de Calleja no sorprende ante un equipo ofensivo-ultraofensivo en El Ciutat.

Acomplejado ante los rivales asequibles fuera de casa (Amorebieta) y en casa arroyar a los atrevidos (Burgos), es la misma línea del año pasado. (+)
Mario Lupión"
@MarioLupion,"Aug 20, 2023","Vamos a ver otro Levante este año. Estoy convencido. Mejor o peor, no lo sé, pero otro. Diferente. El equilibrio entre inconsciencia y la alegría de la juventud será clave y de Álex Valle… iremos hablando durante la temporada.

Para Calleja era imprescindible inscribirle. Lógico
Quote
Plaza Deportiva"
@plazadeportiva_,"Aug 20, 2023","#NotasPD | Álex Valle saluda al Ciutat https://buff.ly/3OIQbF3
Dani Hermosilla"
@DANIH069,"Aug 19, 2023","Me ha gustado el Levante
Y al 50%, no me ha gustado el Levante. 
Me da que el mismo problema de siempre: no que no haya delanteros, no que tengan errores groseros atrás. 
El problema no es de trabajo/ambición sino de concepto. El de Calleja, para segunda, no es valido.


Carlos Cervelló"
@cervello11,"Aug 19, 2023","Buen partido en general del Levante. Fue más valiente para buscar el gol, encontró un sistema en el MCB y MSB distintos para poder hacer daño al Burgos y anotó, importante detalle.
Buen partido de muchos, pero me quedo con Álex Muñoz, Oriol Rey y Álex Valle. Calleja hoy perfecto.
ElDesmarque Levante"
@ElDesmarque_LUD,"Aug 19, 2023","Calleja: ""Este año veo ilusión máxima, hambre, el equipo ha dominado de principio a fin"" https://eldesmarque.com/futbol/levante-ud/20230819/calleja-este-ano-veo-ilusion-maxima-hambre-el-equipo-ha-dominado-de-principio-a-fin_300065059.html


Eric Martín Gasulla"
@Eric18Martin,"Aug 19, 2023","Levante UD 3-2 Burgos CF. ¡FINAL! 🐸🐸🐸

Sufriendo desde el primer partido en el Ciutat. Hoy mejora evidente en el equipo de Javi Calleja y con goles de Cantero, Sergio Lozano y Bouldini

4/6 PUNTOS. La batalla continúa. #LevanteBurgosCF
Mundo Levante UD"
@MundoLevanteUD,"Aug 19, 2023","77' | LEV 3-2 BUR |

Javi Calleja agota sus cambios. Entran Dani Gómez y Brugui, se marchan Bouldini y Andrés García 

#LevanteBurgosCF
Eric Martín Gasulla"
@Eric18Martin,"Aug 19, 2023","Después de la polémica con Wesley del año pasado, Calleja todavía no ha aprendido que los penaltis deben ser para los especialistas

Sergio Lozano sí lo es; Cantero no. 

Por suerte, el '11' se ha repuesto de su fallo y anotó le primer gol del Levante. #LevanteBurgosCF
Eric Martín Gasulla"
@Eric18Martin,"Aug 19, 2023","Muchas novedades en la alineación de Javi Calleja

Vezo lateral derecho, Álex Valle debuta como titular más Algobia y Andrés García de Inicio. Dela, Postigo, Giorgi y Clemente suplentes. 

Así sale el Levante UD. #LevanteBurgosCF 🐸👇
Quote
ONDA DEPORTIVA VALENCIA"
@ODValencia,"Aug 19, 2023","#LevanteUD 🐸 

11 de Calleja para el #LevanteBurgosCF

🎙️En @Radioestadio 

📻101.2FM y 90.9FM
📱App Onda Cero
🖥Web http://ow.ly/CkJ550LJr7Z
Show more
Carlos Minuesa"
@CarlosMinuesa,"Aug 19, 2023","Replying to 
@LevanteUD
Se confirma que Calleja tiene una oferta de Arabia y con esta alineación trata q el Levante le deje ir libre o no entiendo nada.

Por cierto que prefiere la gente sobre el paquete Cantero:
Jugar con Cantero titular
0%
Que le fuleteen el tanque
100%
17 votes
·
Final results
Levante TV"
@Levante_TV,"Aug 19, 2023","🐸 
@LevanteUD
 | Calleja mueve su once para enfrentarse al Burgos 

 📺+Info #AbalónParado #CVEDesports 
@juanmaromerodm
 
@superdeporte_es

https://ift.tt/Wpidn30"
