Username,Date,Content,Cleaned_Content
@laverdad_ct,"Aug 17, 2023","Sánchez del Amo asume que «toca aguardar a los últimos días» para fichar
laverdad.es
Sánchez del Amo asume que «toca aguardar a los últimos días» para fichar | La Verdad
El Cartagena prepara el viaje a Andorra sin Alcalá, con Gonzalo Verdú y hasta diez jugadores del filial, a la espera de que lleguen más refuerzos en el mercado
Antonio G Valera",sánchez del amo asume que toca aguardar a los últimos días para fichar laverdades sánchez del amo asume que toca aguardar a los últimos días para fichar la verdad el cartagena prepara el viaje a andorra sin alcalá con gonzalo verdú y hasta diez jugadores del filial a la espera de que lleguen más refuerzos en el mercado
@antoniogvalera,"Aug 16, 2023","Rueda de prensa de Víctor Sánchez del Amo entrenador del F C Cartagena
Vía 
@RTVEMurcia
La 1 and FC Cartagena
Rubén Serrano",rueda de prensa de víctor sánchez del amo entrenador del f c cartagena vía la and fc cartagena
@ruserrca,"Aug 13, 2023","Tiene que mejorar el Cartagena, limitado hoy en futbolistas. Creció en tramos del segundo acto, con más iniciativa. Pero faltaron ideas, explotó poco el juego interior y apenas generó peligro. 

Mercado abierto para dibujar bien qué y cómo quiere ser el Efesé de Sánchez del Amo.
Punto Regional",tiene que mejorar el cartagena limitado hoy en futbolistas creció en tramos del segundo acto con más iniciativa pero faltaron ideas explotó poco el juego interior y apenas generó peligro mercado abierto para dibujar bien qué y cómo quiere ser el efesé de sánchez del amo
@PuntoRegional,"Aug 13, 2023","❌ Derrota del FC Cartagena 0-1 ante el Eldense

📉 Los de Victor Sánchez del Amo caen en el primer partido de liga

⚽️ El gol de Juanto Ortuño, hermano del delantero del FC Cartagena, da la victoria a los alicantinos
Punto Regional",derrota del fc cartagena ante el eldense los de victor sánchez del amo caen en el primer partido de liga el gol de juanto ortuño hermano del delantero del fc cartagena da la victoria a los alicantinos
@PuntoRegional,"Aug 13, 2023","1️⃣1️⃣ Aquí está la primera alineación de Victor Sánchez del Amo en Segunda División con el FC Cartagena

⚪️⚫️ Los albinegros debutan contra el Eldense, recién ascendido a 2ª",aquí está la primera alineación de victor sánchez del amo en segunda división con el fc cartagena
@siempresdp,"Aug 18, 2023","El Cartagena tiene muy mala pinta, el partido de hoy ha sido terrible. Plano, sin ideas... No puedes depender de un troncomóvil como Ortuño, o fichan un delantero top goleador o las van a pasar putas.
Pd: Víctor Sánchez del Amo no come el turrón
Punto Regional",el cartagena tiene muy mala pinta el partido de hoy ha sido terrible plano sin ideas no puedes depender de un troncomóvil como ortuño o fichan un delantero top goleador o las van a pasar putas pd víctor sánchez del amo no come el turrón
@PuntoRegional,"Aug 18, 2023","❌ Derrota del FC Cartagena 3-2 ante el Andorra

2️⃣ Dos partidos, dos derrotas para los de Victor Sánchez del Amo

⚽️⚽️⚽️ El hat trick de Manu Nieto mete en más problemas al Cartagena 

🔪 Datkovic se marcha a otro equipo. No viajó a Andorra. El jugador pidió al club salir
David López",derrota del fc cartagena ante el andorra dos partidos dos derrotas para los de victor sánchez del amo el hat trick de manu nieto mete en más problemas al cartagena datkovic se marcha a otro equipo no viajó a andorra el jugador pidió al club salir
@davizuco99,"Aug 18, 2023","No sé si baño pero buen toque el que le ha metido el Andorra al Cartagena. Más allá del hattrick de Manu Nieto.

Eder Sarabia: 6/6
Víctor Sánchez del Amo: 0/6

#AndorraCartagena
Manuel",no sé si baño pero buen toque el que le ha metido el andorra al cartagena más allá del hattrick de manu nieto eder sarabia víctor sánchez del amo andorracartagena
@manueloliveir96,"Aug 18, 2023","El primer entrenador despedido de primera va a ser Francisco el del Rayo, y el de segunda va a ser Víctor Sánchez del Amo del Cartagena, de aquí no me baja nadie.
Punto Regional",el primer entrenador despedido de primera va a ser francisco el del rayo y el de segunda va a ser víctor sánchez del amo del cartagena de aquí no me baja nadie
@PuntoRegional,"Aug 18, 2023","1️⃣1️⃣ Este es el once elegido por Víctor Sanchez del Amo para el partido entre el FC Cartagena y el Andorra
Camavinguismo",este es el once elegido por víctor sanchez del amo para el partido entre el fc cartagena y el andorra
@EduCamavinga25,"Aug 18, 2023","Si el Andorra hoy nos mete 4 no quiero ver ninguna crítica a Víctor Sánchez del Amo ya que ha venido al Cartagena con la situación complicada que tenemos ahora, así que las críticas a 
@belmonte17
 y a 
@manuelSbreis
 que no son capaces de hacer una rueda de prensa para explicar todo",si el andorra hoy nos mete no quiero ver ninguna crítica a víctor sánchez del amo ya que ha venido al cartagena con la situación complicada que tenemos ahora así que las críticas a y a
@LaLigaData123,"Aug 27, 2023","Cartagena 0-1 Levante UD
La Liga Hypermotion J3 (2a div)
Final en Cartagonova, victoria del equipo de Javier Calleja.
⚽Giorgi Kochorashvili (25') 0-1.
El equipo de Víctor Sánchez del Amo ha sumado 0/9.
Punto Regional",cartagena levante ud la liga hypermotion j a div final en cartagonova victoria del equipo de javier calleja giorgi kochorashvili el equipo de víctor sánchez del amo ha sumado
@PuntoRegional,"Aug 26, 2023","📣 Las palabras de Victor Sánchez del Amo, entrenador del FC Cartagena sobre el tema Rubiales, Jenni Hermoso y el fútbol español

💬“Sin conocimiento, no puedo darte un juicio de valor sobre nada”

💬“Yo para dar una opinión, necesito conocimiento (sobre lo sucedido) y me falta”
0:01 / 1:00
Mario Jiménez",las palabras de victor sánchez del amo entrenador del fc cartagena sobre el tema rubiales jenni hermoso y el fútbol español sin conocimiento no puedo darte un juicio de valor sobre nada yo para dar una opinión necesito conocimiento sobre lo sucedido y me falta
@MarioJimenezB_,"Aug 26, 2023","Víctor Sánchez del Amo, entrenador del Cartagena, sobre la polémica:

“No tengo conocimiento de lo que ha pasado. Por lo que he leído, hay varias versiones. No tengo conocimiento, no sé qué ha pasado exactamente”.
0:02 / 1:00
AmpaRo",víctor sánchez del amo entrenador del cartagena sobre la polémica no tengo conocimiento de lo que ha pasado por lo que he leído hay varias versiones no tengo conocimiento no sé qué ha pasado exactamente
@AmpaOnFire,"Aug 26, 2023","Lamentable Víctor Sánchez del Amo, entrenador del Cartagena. Le preguntan por Rubiales y dice que no tiene conocimiento de lo que ha pasado ... Dí que eres un cobarde o un machista más y quedas mejor.
Alejandro López",lamentable víctor sánchez del amo entrenador del cartagena le preguntan por rubiales y dice que no tiene conocimiento de lo que ha pasado dí que eres un cobarde o un machista más y quedas mejor
@Jandrolopezzz,"Aug 25, 2023","El Cartagena y Victor Sánchez del Amo empiezan mal, 0 puntos de 9 y sus 3 siguientes partidos son en Villarreal, contra el Zaragoza y en Valladolid…..veis a VSDA primer entrenador despedido de la temporada?
Eric Martín Gasulla",el cartagena y victor sánchez del amo empiezan mal puntos de y sus siguientes partidos son en villarreal contra el zaragoza y en valladolidveis a vsda primer entrenador despedido de la temporada
@Eric18Martin,"Aug 25, 2023","FC Cartagena 0-1 Levante UD. ¡FINAL!

¡Otra victoria! En Cartagonova sigue mandando un solo equipo. LÍDERES, aunque sea mera anécdota

Gol de Kocho y desde el 50' a sufrir. El gol anulado a Musto y los pocos recursos de Sánchez Del Amo declina la balanza. #CartagenaLevante 🐸🐸🐸
Punto Regional",fc cartagena levante ud final otra victoria en cartagonova sigue mandando un solo equipo líderes aunque sea mera anécdota gol de kocho y desde el a sufrir el gol anulado a musto y los pocos recursos de sánchez del amo declina la balanza cartagenalevante
@PuntoRegional,"Aug 25, 2023","❌ El FC Cartagena pierde 0-1 ante el Levante

🔻 El gol de Kochorashvili manda a los de Victor Sánchez del Amo al fondo de la clasificación

📉 Los albinegros son penúltimos de la liga 

💼 Quedan 6 días de mercado. Esto tiene que cambiar


José Antonio Fortes 🇪🇸 Sufridor malaguista",el fc cartagena pierde ante el levante el gol de kochorashvili manda a los de victor sánchez del amo al fondo de la clasificación los albinegros son penúltimos de la liga quedan días de mercado esto tiene que cambiar
@fortes1953,"Aug 25, 2023","No sabía que Victor Sánchez del Amo es el actual entrenador del Cartagena. Acabo de verlo durante la retransmisión del partido ante el Levante (0-1, 60').
De momento, no ha e mpezado bien la liga, pero se merecería triunfar tras su complicada y surrealista salida del 
@MalagaCF
Vivencias granotas",no sabía que victor sánchez del amo es el actual entrenador del cartagena acabo de verlo durante la retransmisión del partido ante el levante de momento no ha e mpezado bien la liga pero se merecería triunfar tras su complicada y surrealista salida del
@VGranotas,"Aug 24, 2023","✍️ #PreviaGranota Las claves del #CartagenaLevante

1⃣ La figura de Víctor Sánchez del Amo
2⃣ Sol y sombras en el fondo de armario
3⃣ Mal momento del 
@FCCartagena_efs

4⃣ Cartagena – Levante: un trayecto más frecuentado de lo que parece

🧵 Dentro hilo",previagranota las claves del cartagenalevante la figura de víctor sánchez del amo sol y sombras en el fondo de armario mal momento del cartagena levante un trayecto más frecuentado de lo que parece
@LaLigaData123,"Sep 4, 2023","Villarreal B 1-2 Cartagena
La Liga Hypermotion J4 (2a div)
Final en el Estadio de La Cerámica, primeros puntos para el equipo de Víctor Sánchez del Amo
⚽Forés (8') 1-0
⚽Iván Ayllón (71') 1-1.
⚽ Alfredo Ortuño (74') 1-2.
El filial groguet seguirá luchando contra grandes equipos
Punto Regional",villarreal b cartagena la liga hypermotion j a div final en el estadio de la cerámica primeros puntos para el equipo de víctor sánchez del amo forés iván ayllón alfredo ortuño el filial groguet seguirá luchando contra grandes equipos
@PuntoRegional,"Sep 2, 2023","✅ El FC Cartagena gana 2-1 al Villarreal B

⚽️ Los albinegros remontaron gracias a los goles de Iván Ayllón y Alfredo Ortuño

📈 Los de Víctor Sánchez del Amo consiguen la primera victoria de la temporada
Varo_OVD 🐺",el fc cartagena gana al villarreal b los albinegros remontaron gracias a los goles de iván ayllón y alfredo ortuño los de víctor sánchez del amo consiguen la primera victoria de la temporada
@VaroOvd,"Sep 2, 2023","La primera parte que hacen los de Sánchez del Amo es el reflejo del nivel de la plantilla. Que mal les pinta por Cartagena
Quote
Varo_OVD 🐺",la primera parte que hacen los de sánchez del amo es el reflejo del nivel de la plantilla que mal les pinta por cartagena quote
@VaroOvd,"Sep 2, 2023","Vaya cagada de defensa tiene el Cartagena
Punto Regional",vaya cagada de defensa tiene el cartagena
@PuntoRegional,"Sep 2, 2023","⚫️⚪️ Se pone por debajo el Cartagena

🟡 1-0 del Villarreal b, gol de Alex Forés

💥Les toca remontar a los de Victor Sanchez del Amo que necesitan empezar a sumar puntos cuanto antes.
Luis Amaranto",se pone por debajo el cartagena del villarreal b gol de alex forés les toca remontar a los de victor sanchez del amo que necesitan empezar a sumar puntos cuanto antes
@LuisAmaranto18,"Sep 2, 2023","Al presidente del Cartagena, que no propietario, se le ve inquieto sin la pasta del amo Felipe Moreno. Hasta este verano todo había sido más sencillo, 500.000€ a Rubén Castro incluidos. Esos aires amenazantes no son nuevos, por cierto. Haz memoria.",al presidente del cartagena que no propietario se le ve inquieto sin la pasta del amo felipe moreno hasta este verano todo había sido más sencillo a rubén castro incluidos esos aires amenazantes no son nuevos por cierto haz memoria
@gerebit0,"Sep 10, 2023","Si alguien tiene dudas de que las dinámicas marcan los partidos, que se mire este Cartagena - Real Zaragoza. Lo ha hecho casi todo bien el equipo albinegro, pero ha mostrado más calma en las acciones decisivas el Zaragoza. Eso sí, buena imagen del cuadro de Sánchez del Amo.
Quote
FC Cartagena",si alguien tiene dudas de que las dinámicas marcan los partidos que se mire este cartagena real zaragoza lo ha hecho casi todo bien el equipo albinegro pero ha mostrado más calma en las acciones decisivas el zaragoza eso sí buena imagen del cuadro de sánchez del amo quote
@FCCartagena_efs,"Sep 10, 2023","FINAL | 1-3 | Se acaba el partido en el Cartagonova.

 #CartagenaRealZaragoza
Punto Regional",final se acaba el partido en el cartagonova cartagenarealzaragoza
