Username,Date,Content
@ElDeportivoLT,"Sep 7, 2022","⚽ Los hinchas del Málaga pierden la paciencia con Guede: “Vete ya” http://bit.ly/3RF7Du8
MCFsider"
@MCFsider,"Sep 6, 2022","El SD Huesca promedia 2.3 goles en casa.

Estaba viendo datos y me ha impresionado ese. Tiene un xG bastante alto también.

Yo de verdad que espero que el Málaga fuera de casa se active el domingo porque sino es que Guede por lo que se comenta... va fuera.
Rabindranath"
@skeletoracb,"Sep 6, 2022","Haaland en el Málaga de Guede jugaría de lateral izquierdo.
Me gusta el Colocao"
@antoniomlg,"Sep 6, 2022","Haaland es un animal, lo imagino acompañando a Rubén Castro en la delantera del Málaga y seguiríamos perdiendo ya que con Guede poniendo a Genaro de central estamos jodidos.
𝙖𝙣𝙙𝙧𝙚𝙨"
@andresiyomlg,"Sep 6, 2022","Este Celtic tiene cositas del Málaga de Guede.
El Deportivo LT"
@ElDeportivoLT,"Sep 6, 2022","⚽ Los hinchas del Málaga pierden la paciencia con Guede: “Vete ya” http://bit.ly/3RF7Du8
Deportes COPE Málaga"
@DeportesCopeMLG,"Sep 6, 2022","📻 Deportes COPE Málaga 060922 
 ⚽ El Málaga cierra filas con Guede
 🔎 Análisis de los 4 equipos malagueños que compiten en 2a RFEF.  🏀 Presentación de Ejim en Unicaja
 🤾 
@BMMalagaCosta
 ya tiene su estrella en el Paseo del Deporte
https://cope.es/a/2045435
Víctor"
@Vicalma,"Sep 6, 2022","Twitter me ha cambiado la búsqueda de TT de Málaga a Reino Unido y ahora no me voy a enterar cuando echen a Guede.




Fernando Cortes Gil"
@elgancho2015,"Sep 6, 2022","Replying to 
@La_Mombolera
Javi Gracia , pedazo de entrenador, ideas claras , trabajador y discreto. Uno de los mejores técnicos que hemos tenido.  Sería muy importante , está a años luz de Guede. Caché elevado , pero si le apetece vivir aquí en Málaga y quiere venir , sería muy importante.
malagalabombonera1"
@pacomontilla76,"Sep 6, 2022","🚨EXCLUSIVA 
@La_Mombolera
 🚨

El club ya está tanteando a posibles sustitutos de Guede. Puede ser cesado este domingo si el Málaga no consigue puntuar en Huesca.
El Deportivo LT"
@ElDeportivoLT,"Sep 6, 2022","⚽ Los hinchas del Málaga pierden la paciencia con Guede: “Vete ya” http://bit.ly/3RF7Du8
Javi Ramírez"
@javimlg92,"Sep 6, 2022","Replying to 
@Azotamentes88
 and 
@La_Mombolera
Echenique tiene más movilidad que el Málaga de Guede
Malacitano"
@laconia480,"Sep 6, 2022","Replying to 
@Biballo80
 and 
@diporte
No espera, que si quieres aplaudimos la gestión del calvo y de Guede, que o no sabes contar o no sabes cuándo empezó a entrenar al Málaga. La temporada pasada, esta pretemporada y el comienzo de liga. Si a ti te parece pronto, lo mismo yo soy muy raro. No es solo por los números
Jannette Kiel Corina"
@Jannettekiel194,"Sep 6, 2022","Yo me ofrezco de entrenador para el málaga cf.
Aunque deberiamos de esperar unos 5 partidos 
a guede y endereze esto ok.
Prometo hacer alineaciones revolucionarias y que ningún jugador se vaya adaptando a su posición, que jugara en otras.
Matías Slb"
@Matias_slb,"Sep 6, 2022","Desolador: Guede, tres triunfos en sus doce partidos al frente del Málaga
https://diariosur.es/malagacf/guede-tres-triunfos-doce-partidos-20220905001500-nt.html
LA MOMBOLERA"
@La_Mombolera,"Sep 6, 2022","🚨EXCLUSIVA 
@La_Mombolera
 🚨

El club ya está tanteando a posibles sustitutos de Guede. Puede ser cesado este domingo si el Málaga no consigue puntuar en Huesca.
Hiper Emocionado🤍💙"
@MalaguistaDavid,"Sep 6, 2022","Replying to 
@P3Dr0_88
 and 
@pellicerismo
Jose Alberto estrujaba mucho las bandas y nos dio alguna que otra tarde buena de fútbol en La Rosaleda,queremos ver ya al Málaga ganar muchos partidos cueste lo q cueste y si es Guede mejor todavía porque se le tiene aprecio y no inquina como muchos piensan pero hay q reaccionar


Hiper Emocionado🤍💙"
