Username,Date,Content,Cleaned_Content
@edubermudezz,"Aug 14, 2023","Gol de Iñigo Vicente (Racing 1-0 Eibar) 21:50
Gol de Artiz Aldasoro (Racing 2-0 Eibar) 23:44

Solamente hubo 1:56 segundos de diferencia entre el primer gol del Racing y el segundo. En menos de 2 minutos se le cayó el castillo de naipes a Joseba Etxeberria.
Andoni",gol de iñigo vicente racing eibar gol de artiz aldasoro racing eibar solamente hubo segundos de diferencia entre el primer gol del racing y el segundo en menos de minutos se le cayó el castillo de naipes a joseba etxeberria
@andoniJO,"Aug 13, 2023","El eibar de judas etxeberria perdiendo 2-0. Música celestial


Miguel Sanchez",el eibar de judas etxeberria perdiendo música celestial
@miwosanchez,"Aug 12, 2023","Ilusionante no ha sido la puesta en escena de Etxeberria en el Eibar no 😅. Vamos a dar unos partidos de margen, pero empezar con semejante resultado no ayuda.
Quote
SD Eibar",ilusionante no ha sido la puesta en escena de etxeberria en el eibar no vamos a dar unos partidos de margen pero empezar con semejante resultado no ayuda quote
@SDEibar,"Aug 12, 2023","🔚 AMAIERA ⚔️FINAL

#RacingEibar I #BetiArmaginak
Olatua",amaiera final racingeibar i betiarmaginak
@Olatua_1909,"Aug 12, 2023","Buen debut de Etxebarria en liga, me da pena por el Eibar, pero que se jodan.
Quote
SD Eibar",buen debut de etxebarria en liga me da pena por el eibar pero que se jodan quote
@SDEibar,"Aug 12, 2023","🔚 AMAIERA ⚔️FINAL

#RacingEibar I #BetiArmaginak
Giovanni Roales 🫡",amaiera final racingeibar i betiarmaginak
@GiovanniRB_,"Aug 12, 2023","Racing 4-0 Eibar

Éxtasis santanderino en su inicio liguero ante el Eibar de un Etxeberría que no comienza con buen pie su aventura armera.


Roberto",racing eibar éxtasis santanderino en su inicio liguero ante el eibar de un etxeberría que no comienza con buen pie su aventura armera
@rgepc,"Aug 12, 2023","El Éibar de Etxeberria recibe goleada en el primer partido.
Es el primer partido pero vaya con el racing
Comandante rojillo",el éibar de etxeberria recibe goleada en el primer partido es el primer partido pero vaya con el racing
@Comanrojillo,"Aug 12, 2023","Menudo repaso al ""nuevo Eibar"" de Etxeberria.",menudo repaso al nuevo eibar de etxeberria
@dsori12,"Aug 19, 2023",Qué bueno es Sergio Álvarez y como lo necesitaba Joseba Etxeberria para dar equilibrio a su Eibar. Vaya manera de pivotar y salir. 🔝,qué bueno es sergio álvarez y como lo necesitaba joseba etxeberria para dar equilibrio a su eibar vaya manera de pivotar y salir
@SDEibarEN,"Aug 28, 2023","🗣️ Joseba Etxeberria: ""We weren't competitive. We must analyse this game and learn from our mistakes.""",joseba etxeberria we werent competitive we must analyse this game and learn from our mistakes
@Enekok_17,"Sep 3, 2023","Replying to 
@SDEibar
Que se vaya Etxeberria a mintxeta a entrenar al C.D. Elgoibar que el Eibar le queda grande
Un3DeAbril 🥂🏆🥂",que se vaya etxeberria a mintxeta a entrenar al cd elgoibar que el eibar le queda grande
@Un3DeAbrill,"Sep 3, 2023","Vaya cagada del Eibar fichando a Etxeberria.

Cuesta abajo y sin frenos.
SD Eibar",vaya cagada del eibar fichando a etxeberria cuesta abajo y sin frenos
@SDEibar,"Sep 3, 2023","🗣️ Joseba Etxeberria: ""Si jugamos como hoy estaremos siempre mucho más cerca de ganar.""

#EibarLeganés | #BetiArmaginak⚔️
0:09 / 1:20
Marta Ortega",joseba etxeberria si jugamos como hoy estaremos siempre mucho más cerca de ganar eibarleganés betiarmaginak
@martao14,"Sep 3, 2023","Victoria del Leganés de Naim García al Eibar de Ríos Reina, Etxeberria no empieza muy bien..
Quote
C.D. Leganés",victoria del leganés de naim garcía al eibar de ríos reina etxeberria no empieza muy bien quote
@CDLeganes,"Sep 3, 2023","⏹️ ¡¡FINAAAAAAAAAAL EN IPURUAAAAAAAAA!! ¡¡+3!! ¡¡VAAAAAAAAAMOOOOOOOSS LEGAAAAAAA!!
David López",finaaaaaaaaaal en ipuruaaaaaaaaa vaaaaaaaaamoooooooss legaaaaaaa
@davizuco99,"Sep 3, 2023","El Leganés suma su tercera victoria y el Eibar su tercera derrota en este inicio. Aunque en Ipurua trabajen con calma, estoy seguro que ya hay run run con Etxeberría. Todo lo contrario a Borja Jiménez. Sale muy reforzado con este triunfo.

#EibarLeganés
Eduardo Calleja",el leganés suma su tercera victoria y el eibar su tercera derrota en este inicio aunque en ipurua trabajen con calma estoy seguro que ya hay run run con etxeberría todo lo contrario a borja jiménez sale muy reforzado con este triunfo eibarleganés
@ECalleja4,"Sep 3, 2023",Que mal pinta el Eibar y principalmente Joseba Etxeberría.,que mal pinta el eibar y principalmente joseba etxeberría
