Username,Date,Content
@kokodavila1,"Sep 11, 2023","Replying to 
@josuefumero
 
@EBETf
 and 
@oliverlandi
Sí, hay par de ellos, entre ellos en Español que se puede ir a muchos puntos.
En el Eibar no confío nada, Etxeberría a ver cuanto dura porque está cometiendo exactamente los mismos errores que hizo aquí, y no tienen delanteros buenos. Yo el Eibar este año no lo veo, veremos..
Sergio"
@SerDiaz_,"Sep 11, 2023","Replying to 
@raishkj
 
@JaimeMendez32
 and 
@josuefumero
Yo lo del Eibar desde que fichó a Etxeberría me tenía en duda.


Maximo Costa"
@MAXIMO_ETXEA,"Sep 9, 2023","Ya son demasiados partidos perdidos para el Eibar creo que es hora de que Joseba Etxeberria deje el banquillo del equipo, el de Elgoibar no puede sacar del agujero al equipo, otro partido pérfido contra el Burgos cf


BILBAO HIRIA"
@BilbaoHiria,"Sep 9, 2023","Joseba Etxeberria en la cuerda floja en el Eibar http://dlvr.it/SvsWMY
SD Eibar"
@SDEibar,"Sep 9, 2023","🗣️ Joseba Etxeberria: ""Los jugadores se han vaciado y lo hemos intentado hasta el final.""

#BurgosCFEibar | #BetiArmaginak⚔️
0:36 / 1:35
Mario Jiménez"
@MarioJimenezB_,"Sep 9, 2023","El Burgos ha hecho un buen partido, especialmente en el 2T, pero me soprende lo mal que está la SD Eibar. Plano, sin ideas con balón, muy previsible, sin ritmo, incapaz de generar… Desesperado el equipo de Etxeberria.
E.dunberri"
@E_dunberri,"Sep 9, 2023","Otra derrota del Eibar. Este club, que yo recuerde, siempre se ha caracterizado por dar confianza y tiempo a los entrenadores. Me da que  Etxeberria no va a durar mucho
Corazón De León"
@Zurigorri_leon,"Sep 9, 2023","Un saludo a Joseba Etxeberria, que estando en el Bilbao Ath. se marchó dando un portazo porque pensaba que tenía que entrenar al primer equipo ""por el articulo 33"". 
Tiene al Eibar penúltimo en segunda tras perder 4 de los primeros 5 partidos.
💢Cos💢"
@davidgomezdecos,"Sep 9, 2023","Estará Etxeberria en la cuerda floja en la jornada 5? Qué mala pinta el Eibar...
Revulsivo 1931"
@revulsivo_1931,"Sep 9, 2023","No termina de arrancar el Eibar que se coloca en puestos de descenso. Ojo con Joseba Etxebarría que podría ser el primer entrenador destituido. 📉👀
Fernando Gómez"
@FGomezJE,"Sep 9, 2023","Mimbres tiene de sobra, pero el inicio de temporada del Eibar deja muchas dudas. Una victoria y cuatro derrotas, tres de ellas consecutivas. La contundencia en las áreas es el gran debe del equipo de Joseba Etxeberri


Comandante rojillo"
@Comanrojillo,"Sep 9, 2023","Joseba Etxeberría no se como el turrón. 

Qué mal comienzo de temporada del Eibar!"
