Username,Date,Content
@Centenariazo,"Aug 28, 2022","Replying to 
@umodijkstra
Na, pero estos les eché un ojo y acertaron varias. Lo de Nafti al Levante es imposible de adivinar inventando, y el timing de lo de Lucas lo clavaron. Yo confío.
💯"
@Centenariazo,"Aug 28, 2022","Replying to 
@MenDeDonosti
 and 
@_dubbar
Estos sacaron lo de Lucas en julio de primeros y adelantaron que Nafti ficharía por el Levante. Por random que parezcan tienen fiabilidad.
DanCle"
@DanCle1909,"Aug 28, 2022","Replying to 
@MiLibrillo
 and 
@CarlosAyats
Si señor, toda la razón. En el barco de mi Levante UD, cábenos todos los levantinistas, los que vemos la botella media vacía y los que la vemos llena entera.
Sr. Nafti, Vd. a entrenar que para eso le pagamos.
ELTUNSI 94 🇹🇳🇵🇸"
@Zzr944,"Aug 28, 2022","Victoire 2-0 pour Levante de Mehdi Nafti contre Tenerife 

3️⃣Matchs ⚔️
1️⃣Victoire ✅
2️⃣ Nuls      ➖ 

@LevanteUD
 
@MehdiNafti12
Levante UE ND"
@Levante_ND,"Aug 28, 2022","Nafti: ""Nos hemos quitado un peso de encima. Ha sido una noche redonda"" via http://ndeportivos.com https://ift.tt/lK8ZRMo
iismaa.10"
@iismaa_10,"Aug 28, 2022","Replying to 
@iismaa_10
También el hecho de que Aitor Sanz se colocara junto a los dos defensas en salida permitía al equipo salir cn laterales muy profundos y abiertos (como Nacho) que ponía en aprietos a los abiertos del levante y te obligaba a recular. Nafti ha sabido corregir esto y x ello (+)
MuyDeFutbol"
@MDFSomos,"Aug 28, 2022","Replying to 
@MDFSomos
✅ EL LEVANTE SE ‘LEVANTA’

🤩 Los ‘granotas’ ganan 2-0 al Tenerife y ganan su primer partido de la temporada

⚡️En un partido más que disputado, los de Nafti se han llevado ‘el gato al agua’


ElDesmarque Levante"
@ElDesmarque_LUD,"Aug 28, 2022","Noche de estrenos en el Ciutat: Mustafi y Róber Ibáñez debutan con Nafti https://eldesmarque.com/valencia/levante-ud/366336-noche-de-estrenos-en-el-ciutat-mustafi-y-rober-ibanez-debutan-con-nafti
Levante TV"
@Levante_TV,"Aug 28, 2022","🐸 
@LevanteUD
 | Nafti: ""Nos hemos quitado un peso de encima. Ha sido una noche redonda"" 

 📺+Info #AbalónParado #CVEDesports 
@juanmaromerodm
 
@superdeporte_es

https://ift.tt/D2MPUeL
Levante UE ND"
@Levante_ND,"Aug 28, 2022","Directo | La rueda de prensa de Nafti tras el Levante - Tenerife via http://ndeportivos.com https://ift.tt/eBN3YwP
ElDesmarque Levante"
@ElDesmarque_LUD,"Aug 28, 2022","Nafti: ""Nos hemos quitado un peso de encima, el equipo necesitaba ese primer gol"" https://eldesmarque.com/valencia/levante-ud/366331-nafti-nos-hemos-quitado-un-peso-de-encima-el-equipo-necesitaba-ese-primer-gol
Levante TV"
@Levante_TV,"Aug 28, 2022","🐸 
@LevanteUD
 | Directo | La rueda de prensa de Nafti tras el Levante - Tenerife 

 📺+Info #AbalónParado #CVEDesports 
@juanmaromerodm
 
@superdeporte_es

https://ift.tt/pW6TL80


Levante USA 🐸🇺🇸"
@LevanteUSA,"Aug 28, 2022","Oye, esto ha ido tan bien que hasta voy a decirle un piropo a Nafti: su santo merito tiene arrancar con 3 partidos seguidos con los mismos que fueron una sangría constante atrás el año pasado.
Nachenko69"
@Nachenko69,"Aug 28, 2022","Nafti con el cambio de sistema y la incursión en el 11 de Campaña y Montiel, pasando a Cantero a la banda ya ha ganado mucho ofensivamente al entramado del equipo, ya tiene otra pinta. El Tenerife no ha hecho casi nada ante el Levante, ha sido una decepción.

#LaLigaSmartBank
ElDesmarque Valencia"
@ElDesmarque_VLC,"Aug 28, 2022","Las notas de los jugadores del Levante y de Nafti ante el Tenerife: uno por uno https://eldesmarque.com/valencia/levante-ud/366273-las-notas-de-los-jugadores-del-levante-y-de-nafti-ante-el-tenerife-uno-por-uno
ElDesmarque Levante"
@ElDesmarque_LUD,"Aug 28, 2022","Las notas de los jugadores del Levante y de Nafti ante el Tenerife: uno por uno https://eldesmarque.com/valencia/levante-ud/366273-las-notas-de-los-jugadores-del-levante-y-de-nafti-ante-el-tenerife-uno-por-uno
Noussour 🇹🇳"
@NoussourTN,"Aug 27, 2022","VICTOIRE du Levante de Mehdi Nafti, 2 matchs nuls et 1 victoire au compteur en Liga 2 ! 🇹🇳👏🏽
Mehdi Nafti
Melch 🪓🪓🪓"
@camecoT_F,"Aug 27, 2022","Muy de Nafti en equipos pequeños como el Lugo. Ahora, ver al Levante con el potencial de Campaña, Robert Ibañez, Melero, De Frutos o Soldado daña la vista
Walid El Mechri"
@WalidElMechri2,"Aug 27, 2022","Un but exceptionnel pour Levante de Mehdi nafti.
Match à suivre sur Bein max 4.


MiguelCG"
@MigueelCG95,"Aug 27, 2022","Cuanto aguantara el Levante a Nafti... Si es que su proposito es ascender claro
VARO"
@OVDVaro,"Aug 27, 2022","El Levante le veo un pequeño problema: tiene gran bloque pero no lo usa. Creo que con gente como De Frutos, Campaña, Soldado y demás tienen un gran bloque pero creo que Nafti usa jugadores con poco nivel en segunda. 

El partido, interesante y parejo.
Mario Jiménez"
@MarioJimenezB_,"Aug 27, 2022","Desde que Nafti quitó los cinco de atrás para poner cuatro, el Levante  es otro. Mucho más cómodo, como se vio en la 2ºT en La Romareda, hoy apuesta por esa continuidad de inicio. Con Montiel -y Campaña- en el verde, los granotas ganan en dominio y verticalidad.
Levante UD Radio"
@LUDradio,"Aug 27, 2022","🎙Escuchamos las palabras de Nafti en la previa del encuentro #LevanteTenerife #LUDLive 

📻 𝟵𝟵.𝟵 𝗙𝗠 @999plazaradio 
💻 http://levanteudradio.es
📱 𝗚𝗿𝗮𝗻𝗼𝘁𝗮 𝗙𝗮𝗻 𝗖𝗹𝘂𝗯
ElDesmarque Levante"
@ElDesmarque_LUD,"Aug 27, 2022","Nafti cambia de sistema en el once contra el Tenerife https://eldesmarque.com/valencia/levante-ud/366265-nafti-cambia-de-sistema-en-el-once-contra-el-tenerife
Piris (En LaLiga Hypermotion)"
@AlexandrePiris,"Aug 27, 2022","Replying to 
@Levante_Al_Dia_
 and 
@granotil_
Campaña Montiel Cantero Wesley te da para atacar, ser valiente y vertical de sobra en la primera parte y encima tenemos el LUJO de tener a De Frutos en el banquillo otro planteamiento rácano es creerte que estás en el Lugo que Nafti no se ha visto con una plantilla así en su vida
Levante Al Día 🇱🇮"
@Levante_Al_Dia_,"Aug 27, 2022","Replying to 
@granotil_
Que una cosa es que tengas lesionada a media plantilla, 7-8 titulares.
Otra cosa es que te falle Brugué, De Frutos y algo más, que lo que sigues teniendo te tiene que dar de sobra.

Yo creo que hoy veremos otro planteamiento de Nafti o eso quiero esperar."
