Username,Date,Content
@GradaOviedo,"Oct 4, 2022","Replying to 
@EduMunoz1969
Por lo que me cuentan suelen tener bastante paciencia con sus entrenadores. Seguramente Bolo no hubiese sido su elección, pero es el que asumen como propio.
Killer Asturias"
@killer_asturias,"Oct 4, 2022","🗣️ Jabo Irureta le echa un capote a Bolo: ""Sacará la situación adelante""

👍 El ex técnico del Real Oviedo es optimista con el trabajo de su paisano

➡️ ""Tiene mucha experiencia y un gran conocimiento de la Segunda División""

https://killerasturias.com/noticias/jabo-irureta-le-echa-un-capote-bolo-sacara-la-situacion-adelante
carmen"
@carmen84897910,"Oct 4, 2022","Replying to 
@DireccionNgel
Bolo tiene un problema y es que el Oviedo no gana y juega mal.A ver si somos capaces de reconocer nuestros males sin echar la culpa al mensajero
Ovetense."
@barril_oviedo,"Oct 4, 2022","A Bolo lo va echar(o puede hacerlo)Ziganda, El miércoles... (Ojalá no,Y ganemos los 3 seguidos)pero pinta tiene de ello....
Oviedo💙🐺💙"
@JavierCaboGonza,"Oct 4, 2022","Replying to 
@Zepequeo4
 
@TitoBlancoS
 and 
@RealOviedo
Yo opino igual, dejar a Bolo es una imprudencia,no va poder con este vestuario
En el Minuto 91"
@enelminuto91,"Oct 4, 2022","#Actualidad  | Real Oviedo

💥¿SE JUEGA BOLO SU PUESTO?

✍️
@VaroOvd
 
https://enelminuto91.com/elementor-1387
OviedoBold"
@OviedoBold,"Oct 4, 2022","3 partidos más para Bolo, muy bieeen 
@RealOviedo
....si el día del Huesca se lía no os quejeis.
Mikelscouting"
@mikelscouting,"Oct 4, 2022","Replying to 
@mikelscouting
Con toda esta rajada, ojalá se gane al Zaragoza y se cambie la situación, pero no tengo muchas esperanzas y creo que Bolo tarde o temprano va a dejar de ser entrenador del Real Oviedo. Por ello, voy a poner algunos ejemplos de entrenadores que actualmente están libres (+)


Mikelscouting"
@mikelscouting,"Oct 4, 2022","Replying to 
@mikelscouting
El Real Oviedo firma a Sergi Enrich a petición de Bolo, ésto no debe ser así, creo que el entrenador debe marcar los perfiles y la dirección deportiva tiene que analizar el jugador que mejor funcione acorde a lo que quiere el míster.

Adjunto un fragmento del libro de Monchi (+)
chus🇵🇸"
@buscalaempatia,"Oct 4, 2022","Replying to 
@oski_sainz
Yo solo puedo decir que me gustaría que Bolo recondujese la situación y triunfase en el Oviedo más que Ziganda. Y eso que me cae un poco gordo pero el otro día me dió hasta pena porque creo que no tiene toda la culpa, ahí hay que repartir entre unos cuántos.
La Nueva España"
@lanuevaespana,"Oct 4, 2022","#Opinión ""La ilusión con la que comenzó la historia de amor entre Bolo y el Oviedo va camino, si don Balón no lo evita, del juzgado de familia, y en Gijón toca llorar la mala suerte de Nacho Méndez"" https://lne.es/deportes/opinion/2022/10/03/opinion-oviedo-sporting-perros-verdes-76747734.html?utm_source=twitter&utm_medium=social&utm_campaign=btn-share por 
@Panzer1976
ElDesmarque Oviedo"
@DMQOviedo,"Oct 4, 2022","Ultimátum a Bolo antes de tiempo: en México tienen un plan para el Oviedo https://eldesmarque.com/asturias/oviedo/noticias-2/213920-ultimatum-a-bolo-antes-de-tiempo-en-mexico-tienen-un-plan-para-el-oviedo-3v3r
ElDesmarque Asturias"
@DMQAsturias,"Oct 4, 2022","Ultimátum a Bolo antes de tiempo: en México tienen un plan para el Oviedo #RealOviedo https://eldesmarque.com/asturias/oviedo/noticias-2/213920-ultimatum-a-bolo-antes-de-tiempo-en-mexico-tienen-un-plan-para-el-oviedo-3v3r
Snce"
@sancetazas,"Oct 4, 2022","Jon Pérez Bolo, quedate en el Real Oviedo.
Coleccionista Real Oviedo"
@ColeccionistaR1,"Oct 3, 2022","Replying to 
@tristang1978
 and 
@RealOviedo
Ese era el supuesto candidato de Tito, pero se encontró con Bolo ya hecho pq lo quería el anterior consejo
Pablo F.C™"
@pafercu78,"Oct 3, 2022","Replying to 
@CeciliaHuerta9
Hablasteis del Oviedo y Bolo??
Borja Bastonismo"
