Username,Date,Content,Cleaned_Content
@provinciaHUESCA,"Aug 14, 2023","Cuco es dios,hace funcionar un 600 sin motor...y lo sabes☝️


Ester Andrés Ibañez",cuco es dioshace funcionar un sin motory lo sabes
@EsterAndrsIbae3,"Aug 13, 2023","@jorgehermo
 Buenas noches: esta tarde después de terminar Burgos- Sd Huesca unos minutos la rueda de prensa de Cuco Ziganda regular por el empate a 1, luego entrevista a un jugador no sé si seguirán así en los partidos que empiecen a las 21:30. Los titulares de prensa de hoy


David López",buenas noches esta tarde después de terminar burgos sd huesca unos minutos la rueda de prensa de cuco ziganda regular por el empate a luego entrevista a un jugador no sé si seguirán así en los partidos que empiecen a las los titulares de prensa de hoy
@davizuco99,"Aug 13, 2023","El Burgos ha sido mejor y ha merecido ganar. Pero gánale al Huesca del Cuco Ziganda. Y eso que esa mano del penalti... En fin, lo esperado de este partido.

#BurgosCFHuesca
Varo_OVD 🐺",el burgos ha sido mejor y ha merecido ganar pero gánale al huesca del cuco ziganda y eso que esa mano del penalti en fin lo esperado de este partido burgoscfhuesca
@VaroOvd,"Aug 13, 2023","Pues el Burgos de Bolo se parece no mucho al Oviedo de Bolo. Por ahora, empate frente al Huesca del Cuco
C:\format c: /q 🧆",pues el burgos de bolo se parece no mucho al oviedo de bolo por ahora empate frente al huesca del cuco
@acad_alex,"Aug 13, 2023","Replying to 
@huesquense
2-0. Ojalá cuco se coma los turrones en huesca, pero no acabo de verlo. Llámame pesimista.
Jorge Mazón",ojalá cuco se coma los turrones en huesca pero no acabo de verlo llámame pesimista
@JorgeMazonG,"Aug 13, 2023","Hoy, regresa la redonda. Hoy, regresa la SD Huesca de Cuco Ziganda. Los niños sonríen, los que salieron ayer no tanto.
SD Huesca",hoy regresa la redonda hoy regresa la sd huesca de cuco ziganda los niños sonríen los que salieron ayer no tanto
@SDHuesca,"Aug 13, 2023","📝 PREVIA | #BurgosCFHuesca

✔️ Últimos precedentes.
✔️ Los datos del rival.
✔️ Jugadores destacados.
✔️ Las palabras de Cuco Ziganda.

AQUÍ 👇🏻



Radio Huesca",previa burgoscfhuesca últimos precedentes los datos del rival jugadores destacados las palabras de cuco ziganda aquí
@RadioHuesca,"Aug 19, 2023","Ziganda: ""Estamos con ganas de hacerlo bien y hacer un buen partido y sacarlo adelante"" 
@SDHuesca
 
@CDTOficial
 
https://cadenaser.com/aragon/2023/08/19/ziganda-estamos-con-ganas-de-hacerlo-bien-y-hacer-un-buen-partido-y-sacarlo-adelante-radio-huesca/ a través de 
@RadioHuesca
Heraldo Deportes",ziganda estamos con ganas de hacerlo bien y hacer un buen partido y sacarlo adelante a través de
@HeraldoDeportes,"Aug 19, 2023","Ziganda con “cosquilleo” ante el debut del Huesca en El Alcoraz http://heral.do/t2obs1
sportaragon.com",ziganda con cosquilleo ante el debut del huesca en el alcoraz
@sportaragon_com,"Aug 19, 2023","🗞️ Ziganda habla en la previa del partido de la #SD Huesca - Tenerife y se muestra más resultadista que nunca. ""¿Ambicioso? ¿Y donde estaré yo en octubre?"" 👇
sportaragon.com
Ziganda, más resultadista que nunca
Ziganda tiene claro que el objetivo de su equipo pasa por la victoria ante el Tenerife. Valora más los puntos que el juego
Mundo Segunda",ziganda habla en la previa del partido de la sd huesca tenerife y se muestra más resultadista que nunca ambicioso y donde estaré yo en octubre sportaragoncom ziganda más resultadista que nunca ziganda tiene claro que el objetivo de su equipo pasa por la victoria ante el tenerife valora más los puntos que el juego
