Username,Date,Content
@David64254075,"Sep 12, 2023","Replying to 
@albert_peti
Claro, si perdemos contra la 
@CanteraGrogueta
 el sábado me gustaría verle cambiar de opinión y sacar a cuco siesta ziganda del banquillo de la SD HUESCA
MONTXO"
@Ramonbarban,"Sep 11, 2023","https://youtu.be/VVp3kXE2cmw?si=iNZauXmZQm7dumZO

Bueno mi análisis del 
@CDLeganes
 contra el huesca del cuco
youtube.com
vamos como un cohete
David M(4 euro🏆 🥇en ⚽ en verano 2024 historico!)"
@David64254075,"Sep 10, 2023","Replying to 
@Konspy1
 and 
@MGarciaDiaz_
Konspy yo lo siento mucho pero conociendo a cuco ziganda
Huesca 0 Villarreal b 1 se acaba así cuco ziganda a la calle y viene el masterclass de segunda Julián Calero
Luis Miguel Ramis que estuvo cerca de ascender con el Tenerife a primera
Carrión el ex del Cartagena
lusarte"
@luissansie,"Sep 10, 2023","Replying to 
@osca_cannizzaro
 and 
@EsaFuerza
El único que hubiera mantenido es a Carrillo que supongo que con Cuco no habrán cuajado al igual que Escriche... Pero a Escriche el agua de Huesca le sienta mal, en 3 o 4 años que llevaba en el Huesca creo que le he visto 4 partidos buenos aunque por potencial pudiese aportar mas
rodri 🧆"
@rodrigo_08_sdh,"Sep 9, 2023","Replying to 
@rodrigo_08_sdh
 
@SDHuesca
 and 
@CDLeganes
Por cierto Cuco vete a la puta calle a estafar a otro club pero a mí Huesca no lo tocas en tu puta vida
Laprovincia FSSR"
@provinciaHUESCA,"Sep 9, 2023","Replying to 
@SDHuesca
Ahora si que Cuco ha de apartarse..
Aún estamos a tiempo de un cambio..
Que pena todo la verdad..
Laprovincia FSSR"
@provinciaHUESCA,"Sep 9, 2023","Me jode decir esto..

Hay que echar a Cuco..

Un cambio ya necesitamos..
Sergio Marín"
@_SergioMarinB,"Sep 9, 2023","Creo que el Huesca de D'Alessandro tenía más opciones de salvarse que el de Cuco.
#sdhuesca
Cafú"
@CafuAcMilan26,"Sep 9, 2023","Replying to 
@Comanrojillo
Y al mediocre del Cuco Ziganda también. Lleva ya tiempo en Huesca y juegan cada vez mas defensivo y peor.


Juanín El Más"
@juancaraqk,"Sep 9, 2023","Replying to 
@BlueOviedo1926
No nos pasemos. El año pasao saco mas puntos Cervera q el Cuco nas mismas jornadas, cuya campaña en Huesca fue muy discreta
La Tía Lupe"
@Guafesor,"Sep 9, 2023","Replying to 
@SDHuesca
Otro partido de la nada más absoluta
Sin pelota
Sin ideas
Sin contundencia
Ni está ni se le espera al Huesca
Penosa imagen del equipo: no es que no ganemos, es que no jugamos un pimiento
Ni intención tenemos
Cuco...vas camino de la destitución...por deméritos propios
😓😓
Huesca4Life 🧆"
@ProfesorHuesca,"Sep 9, 2023","Merecemos ver fútbol después de mucho tiempo.
En esta cuenta se deja de idolatrar al Cuco “Brujo” Ziganda y os presento a mi caballo de Troya, que recordemos, está libre.
@SDHuesca
 
@AMG
 fichen
SD Huesca"
@SDHuesca,"Sep 9, 2023","📝 PREVIA | #LeganésHuesca

✔️ Últimos precedentes. 
✔️ Los datos del rival. 
✔️ Jugadores destacados. 
✔️ Las palabras de Cuco Ziganda. 

AQUÍ👇
From sdhuesca.es
Miguel"
@MiguelNRLBAPYC,"Sep 8, 2023","Replying to 
@SDHuesca
Grandes amigos en el Huesca…Javi, Cuco, Samu….toda la suerte del mundo!!!


David M(4 euro🏆 🥇en ⚽ en verano 2024 historico!)"
