Jornada,Fecha,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha
1,12 Ago 2319:00Finalizado,-4,22,-3,1,0,-17,0
2,19 Ago 2317:00Finalizado,1,14,5,0,0,-9,0
3,28 Ago 2319:00Finalizado,-1,17,2,0,0,-12,3
4,03 Sep 2316:15Finalizado,-1,21,-2,1,0,-16,3
5,09 Sep 2316:15Finalizado,-1,22,-3,1,0,-17,3
6,17 Sep 2316:15Finalizado,2,17,2,0,0,-12,3
7,22 Sep 2321:00Finalizado,1,12,7,0,0,-7,3
8,30 Sep 2316:15Finalizado,3,9,10,0,0,-4,6
9,05 Oct 2319:00Finalizado,2,8,11,0,0,-3,9
10,08 Oct 2314:00Finalizado,1,7,12,0,0,-2,12
