Jornada,Fecha,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha
1,13 Ago 2317:00Finalizado,0,12,7,0,0,3,0
2,21 Ago 2321:30Finalizado,-2,19,0,1,0,-4,1
3,28 Ago 2321:30Finalizado,0,20,-1,1,0,-5,1
4,03 Sep 2321:00Finalizado,0,19,0,1,0,-4,2
5,09 Sep 2321:00Finalizado,-2,21,-2,1,0,-6,3
6,16 Sep 2316:15Finalizado,0,20,-1,1,0,-5,2
7,23 Sep 2321:00Finalizado,2,18,1,0,0,-3,3
8,01 Oct 2321:00Finalizado,-1,19,0,1,0,-4,5
9,04 Oct 2319:00Finalizado,-1,20,-1,1,0,-5,4
10,07 Oct 2316:15Finalizado,-1,21,-2,1,0,-6,4
