Partido,Sentimiento Global,Porcentaje positivos,Porcentaje neutros,Porcentaje negativos,Numero de Tweets,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha,Despedido
13 Aug,-0.12860909090909092,0.0,63.63636363636363,36.36363636363637,11,0,9,10,0,0,-3,0,0
20 Aug,0.04122499999999999,25.0,37.5,37.5,8,0,15,4,0,0,-9,1,0
27 Aug,0.0979,25.0,75.0,0.0,4,-2,19,0,1,0,-13,2,0
01 Sep,0.18389090909090908,27.27272727272727,63.63636363636363,9.090909090909092,11,2,12,7,0,0,-6,2,0
09 Sep,0.07500000000000001,37.5,43.75,18.75,16,-2,15,4,0,0,-9,5,0
16 Sep,0.1269875,37.5,50.0,12.5,8,1,12,7,0,0,-6,4,0
23 Sep,0.0,0.0,100.0,0.0,3,-1,15,4,0,0,-9,6,0
30 Sep,-0.22197499999999998,0.0,50.0,50.0,4,2,11,8,0,0,-5,6,0
03 Oct,-0.148,0.0,50.0,50.0,2,1,10,9,0,0,-4,6,0
06 Oct,-0.16921333333333333,20.0,33.33333333333333,46.666666666666664,15,-2,11,8,0,0,-5,9,0
