Username,Date,Content
@JesusOliver1234,"Aug 15, 2023","Replying to 
@CesarHurtado
Estoy totalmente de acuerdo con tu apreciación, yo ya lo vi en pretemporada, Álvaro un guante en el pie y Carlos además de no ir mal y ser capaz de llegar y centrar , tiene mucho poder de sacrificio,  Albes lo sabe  y esa banda va a dar mucho al Albacete este año.
Tribuna de Albacete"
@TribunaAlbacete,"Aug 15, 2023","Rubén Albés: «Este nuevo comienzo es el alma del equipo» https://latribunadealbacete.es/noticia/z92c2ec75-ca65-1422-14537c5d0fff712a/202308/ruben-albes-este-nuevo-comienzo-es-el-alma-del-equipo
Joan Camí"
@JoanCami,"Aug 14, 2023","Replying to 
@JoanCami
Un planteamiento muy atrevido por parte del Albacete de Rubén Albés, muy agresivo en los saltos de la línea defensiva y que mejoró claramente en la segunda mitad, encontrando superioridades continuas por fuera y generando mucho centro lateral.

Muy bien Djetei, partidazo #RCDE
Mario Jiménez"
@MarioJimenezB_,"Aug 14, 2023","Replying to 
@s3rg10h85
La única realidad es que, en su única temporada juntos, el Albacete de Albés quedó 6º en liga siendo un recién ascendido. Pero, vamos, que un equipo mola por el perfil de jugadores/juego, no sólo por los resultados.
Albacete Balompié 🤍"
@AlbaceteBPSAD,"Aug 14, 2023","El estreno de 
@Sam_shash
 con la camiseta del Alba. 

“Sam es juguetón. Es competitivo. Tiene personalidad. Es muy bueno. El reto está en conseguir que rinda durante mucho tiempo a mucho nivel”, Rubén Albés.
Alejandro Rubio"
@Alexrmvcf,"Aug 14, 2023","Replying to 
@CesarHurtado
Actitud,  hambre en todo momento , a pesar de que casi no han entrado los goles, marca Ruben  Albés y el porqué han enamorado al seguidor tanto que no es del Albacete como a nosotros
LaCerca noticias CLM"
@La_Cerca,"Aug 14, 2023","Rubén Albés destaca la ""conexión"" y ""alma"" del #Albacete en su debut liguero


Jesús Ortiz Navarro"
@JesusOrtiz97,"Aug 13, 2023","Como mola el Albacete de Ruben Albes.
El Digital de Albacete"
@ElDigitalAB,"Aug 13, 2023","Albés cree que el Albacete mereció más y resta importancia a los errores de Fuster
#Albacete
eldigitaldealbacete.com
Albés cree que el Albacete mereció más y resta importancia a los errores de Fuster
Tras empatar ante el RCD Espanyol, el entrenador del Albacete Balompié pasó por sala de prensa para valorar ante los micros todo lo que dio de sí, en su
Albacete Balompié 🤍"
@AlbaceteBPSAD,"Aug 13, 2023","No te pierdas la rueda de prensa post partido de Rubén Albés desde el Carlos Belmonte
From albacetebalompie.es
Mario Jiménez"
@MarioJimenezB_,"Aug 13, 2023","El Albacete de Rubén Albés sigue molando mucho. Muchísimo, de hecho."
