Username,Date,Content,Cleaned_Content
@zerausbrj,"Aug 17, 2022","Twitter Oviedo, pequeña demostración.

Bolo antes de / Bolo después del 
venir al Oviedo / primer partido
🔻🇸🇪Dani Coto💙🇸🇪🔻",twitter oviedo pequeña demostración bolo antes de bolo después del venir al oviedo primer partido
@astur11,"Aug 17, 2022","Replying to 
@MarioJimenezB_
Presionó alto pero mal. Lo dijo Bolo en rueda de prensa, para mi fue más demérito del Oviedo que virtud del Andorra. En algún momento que se coordinó mejor el Andorra sufrió.
Grada Oviedo",presionó alto pero mal lo dijo bolo en rueda de prensa para mi fue más demérito del oviedo que virtud del andorra en algún momento que se coordinó mejor el andorra sufrió
@GradaOviedo,"Aug 17, 2022","Calvo y Tarín fueron la pareja de centrales elegida por Bolo para el debut liguero. Al margen del desajuste defensivo que pudo existir en el gol del Andorra, la línea de retaguardia fue lo más destacado del #RealOviedo, dando seguridad y solidez.
OviedoBold",calvo y tarín fueron la pareja de centrales elegida por bolo para el debut liguero al margen del desajuste defensivo que pudo existir en el gol del andorra la línea de retaguardia fue lo más destacado del realoviedo dando seguridad y solidez
@OviedoBold,"Aug 17, 2022","Replying to 
@Ramonjulio27
 and 
@elcomerciodigit
Ya rajaste más de Bolo en una jornada que de Ziganda en 3 temporadas
Diario AS",ya rajaste más de bolo en una jornada que de ziganda en temporadas
@diarioas,"Aug 17, 2022","👕👕 El Oviedo, cerca de cerrar la cesión de Koba Koindredi

El pivote es una demanda de Bolo y llega a préstamo desde el Valencia https://as.com/futbol/segunda/el-oviedo-cerca-de-cerrar-la-cesion-de-koba-koindredi-n/?smm=CM_ES_TW&utm_medium=Social&utm_source=Twitter#Echobox=1660733201
Álvaro",el oviedo cerca de cerrar la cesión de koba koindredi el pivote es una demanda de bolo y llega a préstamo desde el valencia
@alvaro__om,"Aug 17, 2022","Replying to 
@BlueOviedo1926
Yo creo q Bolo va a hacer buen trabajo en Oviedo xq así lo hizo en los sitios en los que estuvo.
Tb creo que se equivocó el lunes.
0 dramas
Ahijadiño",yo creo q bolo va a hacer buen trabajo en oviedo xq así lo hizo en los sitios en los que estuvo tb creo que se equivocó el lunes dramas
@BlueOviedo1926,"Aug 17, 2022","A Bolo, salvo que vayamos jodidos en la tabla para navidades, le daría el año entero. No creo que andar criticando al entrenador, como se hace mucho por aquí, de primeras sea lógico. Apuesto nos dará buenos resultados.


Nacho Azparren",a bolo salvo que vayamos jodidos en la tabla para navidades le daría el año entero no creo que andar criticando al entrenador como se hace mucho por aquí de primeras sea lógico apuesto nos dará buenos resultados
@NachoAzparren,"Aug 17, 2022","Reconocía Bolo al final del partido que el Oviedo había estado desordenado en la presión. Una invitación para que el Andorra creciera en el partido.

Los datos del partido confirman la sensación de que los azules no estuvieron acertados al defender. 👇
lne.es
El desorden que alejó al Oviedo del triunfo: los datos que explican la derrota
La mala ejecución de la presión, mejorada tras el descanso, permitió al Andorra alcanzar un llamativo 86% de pases buenos en el campo rival
RealOviedoTime (🐺)",reconocía bolo al final del partido que el oviedo había estado desordenado en la presión una invitación para que el andorra creciera en el partido los datos del partido confirman la sensación de que los azules no estuvieron acertados al defender lnees el desorden que alejó al oviedo del triunfo los datos que explican la derrota la mala ejecución de la presión mejorada tras el descanso permitió al andorra alcanzar un llamativo de pases buenos en el campo rival
@RealOviedoTime,"Aug 17, 2022","El once tipo de bolo según el enterao este cuenta con un jugador que ni vio entrenar, un tío que puede correr a duras penas y, por supuesto, todos los canteranos a la mierda. Tremendo.
Quote
Harkonnen (cabrón carbayón)",el once tipo de bolo según el enterao este cuenta con un jugador que ni vio entrenar un tío que puede correr a duras penas y por supuesto todos los canteranos a la mierda tremendo quote
@harkonnen69,"Aug 15, 2022","El equipo ""tipo"" de Bolo es este:
               Tomeu
Miguelón Costas Calvo  Aceves
Flores   Montoro  Koba   Borja
            Bastón  Enrich
Hasta 6 jugadores, que no empezaron el partido hoy. 
    Keep calm !!
Show more
Oviedo siempre.",el equipo tipo de bolo es este tomeu miguelón costas calvo aceves flores montoro koba borja bastón enrich hasta jugadores que no empezaron el partido hoy keep calm show more
@OviedistaK04227,"Aug 16, 2022","Replying to 
@taranielloazul
 
@__Oviedista__
 and 
@RealOviedo
Es más bien obsesión vuestra. Ya no está en nuestro equipo. Ahora está Bolo, y por un partido... por si gesticula o no, ya estáis - las viudas - malmetiendo. Hombre, al triste lo aguantamos después de casi bajarnos, vamos a darle a este al menos, el beneficio de la duda.
Killer Asturias",es más bien obsesión vuestra ya no está en nuestro equipo ahora está bolo y por un partido por si gesticula o no ya estáis las viudas malmetiendo hombre al triste lo aguantamos después de casi bajarnos vamos a darle a este al menos el beneficio de la duda
@killer_asturias,"Aug 16, 2022","💭 Martes de reflexión para el Real Oviedo tras la derrota ante el Andorra

👀 Martín Peláez y Tito Blanco conversaron con Bolo tras lo vivido ayer

https://killerasturias.com/noticias/martes-de-reflexion-tras-la-derrota-ante-el-andorra
Xuan Cándano",martes de reflexión para el real oviedo tras la derrota ante el andorra martín peláez y tito blanco conversaron con bolo tras lo vivido ayer
@XuanCandano,"Aug 16, 2022","Del decepcionante debut en el Tartiere del Oviedo Bolo debería tomar muchas notas. Una, que prescindir de Javi Mier parece un error deportivo incomprensible. Ayer jugaron varios jugadores que no tienen su nivel deportivo, ni de lejos.
Christian",del decepcionante debut en el tartiere del oviedo bolo debería tomar muchas notas una que prescindir de javi mier parece un error deportivo incomprensible ayer jugaron varios jugadores que no tienen su nivel deportivo ni de lejos
@ChistyOviedo,"Aug 16, 2022","Replying to 
@astures
 
@Novoj1926
 and 
@valenbecks
Al igual que había gente que rajaba de Brugman sin verlo, Mier es buen futbolista, y creo que tiene futuro aquí, pero si Bolo ve que no tendrá minutos con el, lo normal es salir cedido y que se foguee una temporada en otro equipo. Y de Koba, pues ni idea.
Guiri",al igual que había gente que rajaba de brugman sin verlo mier es buen futbolista y creo que tiene futuro aquí pero si bolo ve que no tendrá minutos con el lo normal es salir cedido y que se foguee una temporada en otro equipo y de koba pues ni idea
@Carbayon620,"Aug 16, 2022","#Real Oviedo
Si llega Koba, la alineación de Bolo tendría que ser esta:
                  Tomeu
Miguelón Costas Calvo Aceves
             Koba  Montoro
Viti            Borja S          Marcelo
                  Bastón


Jalapeño picante",real oviedo si llega koba la alineación de bolo tendría que ser esta tomeu miguelón costas calvo aceves koba montoro viti borja s marcelo bastón
