Username,Date,Content,Cleaned_Content
@eljavigranota,"Aug 13, 2023","Replying to 
@DJCapi99
Calleja:
Mario Jiménez",calleja
@MarioJimenezB_,"Aug 13, 2023","Replying to 
@khalkrueger
No demasiado, honestamente. Me da la sensacion que el Levante tiene una presión encima muy complicada desde la temporada pasada. Y creo que Calleja no está siendo el entrenador que conocíamos de Primera División.
Levante Unión Depresiva (el/javi)",no demasiado honestamente me da la sensacion que el levante tiene una presión encima muy complicada desde la temporada pasada y creo que calleja no está siendo el entrenador que conocíamos de primera división
@eljavigranota,"Aug 13, 2023","Carlos Álvarez después que Calleja le diga que tiene que salir a buscar el empate y no arriesgar mucho:
0:06 / 0:06
Pablo1909",carlos álvarez después que calleja le diga que tiene que salir a buscar el empate y no arriesgar mucho
@Pablete1909,"Aug 12, 2023","Replying to 
@granotaenfadado
Si el levante fuera un club serio calleja no habría empezado la liga, pobres pero honrados
Levante Unión Depresiva (el/javi)",si el levante fuera un club serio calleja no habría empezado la liga pobres pero honrados
@eljavigranota,"Aug 12, 2023","Replying to 
@levantemania_
 and 
@todoestoro
Cuando me preguntan cómo me tiene Calleja de entrenador.
1909LEVANTE",cuando me preguntan cómo me tiene calleja de entrenador
@1levante,"Aug 12, 2023","Replying to 
@granotil_
Seguimos igual  Calleja = nada de nada un equipo sin ambición
Levante Unión Depresiva (el/javi)",seguimos igual calleja nada de nada un equipo sin ambición
@eljavigranota,"Aug 12, 2023","Replying to 
@levantemania_
Sabías que a Calleja le ponen los empates.
𝙼𝚒𝚚𝚞𝚎𝚕",sabías que a calleja le ponen los empates
@unoodostoques,"Aug 12, 2023","Replying to 
@PzarraTxingurri
Muy bueno el análisis. En mi opinión y pese a los ajustes, la presión del Amore en el inicio de juego no fue la mejor: Jauregui sólo vs centrales y con Edwards tapando a Oriol pero dejando libre a Kocho. En cuanto Calleja lo cambió, se acabó el Levante. Me encantó Sibo
Levante Unión Depresiva (el/javi)",muy bueno el análisis en mi opinión y pese a los ajustes la presión del amore en el inicio de juego no fue la mejor jauregui sólo vs centrales y con edwards tapando a oriol pero dejando libre a kocho en cuanto calleja lo cambió se acabó el levante me encantó sibo
@eljavigranota,"Aug 12, 2023","Replying to 
@AlexandrePiris
Yo no creo que el equipo haya funcionado tan mal. Para mi el gran problema es la falta de actitud y ganas de salir a buscar el partido. Y en ese sentido para mi el responsable es Calleja.
GazzettaLUD",yo no creo que el equipo haya funcionado tan mal para mi el gran problema es la falta de actitud y ganas de salir a buscar el partido y en ese sentido para mi el responsable es calleja
@GazzettaLUD,"Aug 12, 2023","Me encantaría verlo en otro equipo. Tengo muchas ganas de saber hasta que punto Calleja desaprovechó su potencial y el de Wesley.

Es la misma sensación que cuando pienso que habrá sido del Levante de Campaña, Bardhi, Morales, Roger... Con otro entrenador que no fuera Pacolo.


Levante Edits",me encantaría verlo en otro equipo tengo muchas ganas de saber hasta que punto calleja desaprovechó su potencial y el de wesley es la misma sensación que cuando pienso que habrá sido del levante de campaña bardhi morales roger con otro entrenador que no fuera pacolo
@LevanteEdits,"Aug 12, 2023","Javi Calleja

Javi Calleja el día que descubra que puede utilizar a Xavi, Andrés, Edgar y Benítez
0:04 / 0:11
Levante Unión Depresiva (el/javi)",javi calleja javi calleja el día que descubra que puede utilizar a xavi andrés edgar y benítez
@eljavigranota,"Aug 12, 2023","Replying to 
@Rogermartismo
 and 
@javiercalleja_
Pero qué piensas de Calleja realmente? No me ha quedado claro.
Grada Media",pero qué piensas de calleja realmente no me ha quedado claro
@GradaMedia,"Aug 12, 2023","Replying to 
@GradaMedia
👉 Amorebieta 1 - 1 Levante. Los visitantes comenzaban ganando ya en el 8' en un partido muy bueno de los de Calleja, pero un gol de Jáuregui en el 64' daba el empate al recién ascendido Amorebieta, que empieza bien su aventura en la categoría de plata
La Liga Data",amorebieta levante los visitantes comenzaban ganando ya en el en un partido muy bueno de los de calleja pero un gol de jáuregui en el daba el empate al recién ascendido amorebieta que empieza bien su aventura en la categoría de plata
@LaLigaData123,"Aug 11, 2023","Amorebieta 1-1 Levante UD
La Liga Hypermotion (2a div)
Final en Lezama, empate entre el equipo de Javier Calleja y el de Aritz Mújica.
Empezó ganando el Levante, ⚽Bouldini (30') 0-1. Pero el equipo recién ascendido dio un golpe y.. ⚽Eneko Jauregui (64') 1-1.
Interesante 🤯
q",amorebieta levante ud la liga hypermotion a div final en lezama empate entre el equipo de javier calleja y el de aritz mújica empezó ganando el levante bouldini pero el equipo recién ascendido dio un golpe y eneko jauregui interesante
@MarcosS09012316,"Aug 11, 2023","Replying to 
@IniestaDFeria
 and 
@las3_torres
Calleja???? No tendrá huev0s de hacer un RDP vs Albés no?

JAJA qué ganas de jornada 10.

Alba navaja en boca Levante casi subo 

Aaaaaaaaaaaaaaalbaaaaaaaaa
Francisco Zarzo",calleja no tendrá huevs de hacer un rdp vs albés no jaja qué ganas de jornada alba navaja en boca levante casi subo aaaaaaaaaaaaaaalbaaaaaaaaa
@Kikozarzo,"Aug 11, 2023","Replying to 
@RompedorLUD
No, hay que echar a Calleja porque sale a jugar sin ambición, porque a muchos equipos les vale el empate contra el Levante y él no domina ningún partido, porque sólo busca algo a partir del 80, porque no se atreve a poner a ningún canterano pase lo que pase...
ElDesmarque Levante",no hay que echar a calleja porque sale a jugar sin ambición porque a muchos equipos les vale el empate contra el levante y él no domina ningún partido porque sólo busca algo a partir del porque no se atreve a poner a ningún canterano pase lo que pase
@ElDesmarque_LUD,"Aug 11, 2023","Calleja: ""Ojalá hubiésemos ganado, no hay que despreciar a ningún rival"" https://eldesmarque.com/futbol/levante-ud/20230811/calleja-ojala-hubiesemos-ganado-no-hay-que-despreciar-a-ningun-rival_300058337.html
Vivencias granotas",calleja ojalá hubiésemos ganado no hay que despreciar a ningún rival
@VGranotas,"Aug 11, 2023","🔁El Levante de Calleja vuelve a las andadas 

📍#LasClaves de la primera jornada:

🤔¿Cómo meter un gol? 
😴Calleja, conservador 
😬Bien defendido, pero...
https://vivenciasgranotas.com/post/el-levante-de-calleja-vuelve-a-las-andadas
Rogermarxismo ☭",el levante de calleja vuelve a las andadas lasclaves de la primera jornada cómo meter un gol calleja conservador bien defendido pero
@Rogermartismo,"Aug 11, 2023","Mirad, os voy a contar una cosa. La primera semana de julio, viendo la desbandada que estaba habiendo (y la que iba a haber) Calleja tenia dudas de seguir como entrenador del Levante. Esa semana, sabiendo las dudas de Calleja,  hubo una reunión donde un representante ofreció
Levante Edits",mirad os voy a contar una cosa la primera semana de julio viendo la desbandada que estaba habiendo y la que iba a haber calleja tenia dudas de seguir como entrenador del levante esa semana sabiendo las dudas de calleja hubo una reunión donde un representante ofreció
@LevanteEdits,"Aug 11, 2023","La vida es eso que pasa entre empate y empate del Levante de Javi Calleja.


Eric Martín Gasulla",la vida es eso que pasa entre empate y empate del levante de javi calleja
@Eric18Martin,"Aug 11, 2023","SD Amorebieta 1-1 Levante UD. FINAL

😤 Un punto, primer ""BOCADILLO DE CEMENTO"". Con Javi Calleja nada ha cambiado: sin estilo definido y sin superioridad

❌ El gol del Amorebieta NO debió subir. Pero el Levante, por fútbol, NO mereció ganar. #AmorebietaLevante
Borja Aranda",sd amorebieta levante ud final un punto primer bocadillo de cemento con javi calleja nada ha cambiado sin estilo definido y sin superioridad el gol del amorebieta no debió subir pero el levante por fútbol no mereció ganar amorebietalevante
@Borja_Aranda_,"Aug 11, 2023","El Levante acabó la temporada de manera cruel, perdiendo el ascenso en el último suspiro de penalti.

Este año lo empieza empatando contra el recién ascendido Amorebieta y después de sacar a varios futbolistas importantes... No empieza de la mejor manera el equipo de Calleja.
Jaime",el levante acabó la temporada de manera cruel perdiendo el ascenso en el último suspiro de penalti este año lo empieza empatando contra el recién ascendido amorebieta y después de sacar a varios futbolistas importantes no empieza de la mejor manera el equipo de calleja
@Jaime4escobar,"Aug 11, 2023","Calleja no puede seguir ni un minuto más en el Levante
EricUDLP🇮🇨",calleja no puede seguir ni un minuto más en el levante
@CanariasYUDLP,"Aug 11, 2023","Espero que Calleja raje en rueda de prensa. Está el Levante jugando en 2a por una mano en el minuto 120 de un play off, y en la primera jornada le empatan el partido con un gol con ayuda del brazo
Capitán Verdiblanco 💚🤍 💢",espero que calleja raje en rueda de prensa está el levante jugando en a por una mano en el minuto de un play off y en la primera jornada le empatan el partido con un gol con ayuda del brazo
@futbol_insight,"Aug 11, 2023","🏆 Campeón: Levante
🔝 Ascendidos: Espanyol, Zaragoza
🌟 MVP: Iñigo Vicente
⚽️ Máximo goleador: Ivan Azon 
🅰️ Máximo asistente: Aketxe
⛔️ Portero menos goleado: Pacheco
🤩 Jugador revelación: Kochorashvili
👦 Mejor jugador joven: Roberto López
👔 Mejor entrenador: Javi Calleja
Levante Unión Depresiva (el/javi)",campeón levante ascendidos espanyol zaragoza mvp iñigo vicente máximo goleador ivan azon máximo asistente aketxe portero menos goleado pacheco jugador revelación kochorashvili mejor jugador joven roberto lópez mejor entrenador javi calleja
@eljavigranota,"Aug 11, 2023","Calleja no sabe lo que es salir a ganar.
Fermín Rodríguez",calleja no sabe lo que es salir a ganar
@ferminrodriwez,"Aug 11, 2023","PABLO Cuñat CAMPOS, titular en 2A contra el Levante en el estreno liguero. Hace unos días estaba con Calleja. Hoy tratará de reivindicarse ante su club! 

Morbo para la J1

🧤⚽️
Granotil",pablo cuñat campos titular en a contra el levante en el estreno liguero hace unos días estaba con calleja hoy tratará de reivindicarse ante su club morbo para la j
