Partido,Sentimiento Global,Porcentaje positivos,Porcentaje neutros,Porcentaje negativos,Numero de Tweets,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha,Despedido
11 Aug,-0.23405,3.571428571428571,42.857142857142854,53.57142857142857,28,0,13,6,0,0,5,0,0
19 Aug,-0.07729444444444446,16.666666666666664,50.0,33.33333333333333,18,1,5,14,0,1,13,1,0
25 Aug,-0.1227583333333333,16.666666666666664,50.0,33.33333333333333,12,1,4,15,0,1,14,4,0
02 Sep,-0.09332941176470588,11.76470588235294,58.82352941176471,29.411764705882355,17,0,6,13,0,1,12,7,0
08 Sep,-0.09336129032258063,6.451612903225806,67.74193548387096,25.806451612903224,31,-3,7,12,0,0,11,8,0
16 Sep,-0.11841875,18.75,37.5,43.75,16,2,5,14,0,1,13,7,0
23 Sep,-0.12851666666666664,0.0,66.66666666666666,33.33333333333333,6,2,5,14,0,1,13,7,0
30 Sep,-0.15303333333333333,11.11111111111111,33.33333333333333,55.55555555555556,9,0,4,15,0,1,14,7,0
03 Oct,-0.16017199999999998,12.0,40.0,48.0,25,0,6,13,0,1,12,7,0
06 Oct,0.02170454545454547,27.27272727272727,45.45454545454545,27.27272727272727,22,2,4,15,0,1,14,8,0
