Username,Date,Content
@Palcovid,"Sep 4, 2023","Replying to 
@Palcovid
 and 
@Levante_Al_Dia_
Oviedo. Te barren la 1 parte y solo a raíz de su expulsión logras hacer algo de juego.
Y vuelves a comenzar perdiendo en casa.
Para mi muy pobre la aportación del banquillo.
Me pensaba que con pretemporada, nuevos jugadores, Calleja podría ser más él e imponer su idea. Pero res
#Deivid#"
@Palcovid,"Sep 4, 2023","Replying to 
@Palcovid
 and 
@Levante_Al_Dia_
A Calleja no le va a cuestionar nada porque Felipe no le ha puesto objetivo.
Una cosa es tu exigencia personal y otra la que te marca el club.
Levante Al Día 🇱🇮"
@Levante_Al_Dia_,"Sep 4, 2023","Escucho RdP y leo a la gente, sigo sin entender que se cuestione tantísimo el puesto de Calleja. Me tranquiliza que Miñambres y desde dentro tengan la confianza en él. Hay defectos que mejorar pero muchísimas cosas buenas que ha dado. Muy lejos para mí de cuestionarse algo.
Levante UD. Nostresport"
@LevanteudN,"Sep 4, 2023","Miñambres: ""La situación de ahora con Calleja es muy diferente a la de Nafti del año pasado""
Levante UD. Nostresport"
@LevanteudN,"Sep 4, 2023","Miñambres: ""Calleja tiene la confianza para seguir en el equipo. Llevamos dos victorias y dos empates, estamos en construcción y hay que seguir mejorando""
Levante Unión Depresiva (el/javi)"
@eljavigranota,"Sep 3, 2023","Replying to 
@soleroltra
Calleja hace los cambios según la media de los jugadores en el FIFA.
GastrobloGGia 🗯️ Oficial"
@MiguelCallejaO,"Sep 3, 2023","Replying to 
@juanjodom
 and 
@ppopular
Hombre el Retiro nos los cierran seguro, porque ya sea por viento, lluvia, sol o que Almeida se levante despeinado, eso es así, 3 de cada 4 días lo cierran o entero o parcialmente.
Pascu Játiva"
@iPasKuJativa,"Sep 2, 2023","El viernes vendrá el Espanyol, y este Levante de Calleja se ha caracterizado siempre por competir bien ante los teóricos favoritos. De hecho, el año pasado no se perdió ningún partido ante ellos.

Viernes 21h. Veremos si vienen en ascenso directo o incluso líderes.
elCarpesà"
@Pdr55102,"Sep 2, 2023","Gracias Calleja, gracias por hacerme saber lo facil q puede un inutil llegar a ser entrenador del levante


GazzettaLUD"
@GazzettaLUD,"Sep 2, 2023","Para terminar:

-El Oviedo es el rival más difícil de toda la 2ª división para el estilo del Levante.
-Todavía hemos tenido suerte con el árbitro.
-Empate justo.
-Andrés, Oriol, Lozano, Álex Muñoz y Postigo muy bien.
-Calleja plantea muy mal las cosas. Muchos errores en todo.
Quote
Levante UD"
@LevanteUD,"Sep 2, 2023","FINAL |

#LevanteUD 1-1 @RealOviedo 

#LevanteRealOviedo
Joserra"
@Joserra_00,"Sep 2, 2023","Parece que todos los partidos de Calleja con el Levante son iguales, tiras la 1a parte a la basura y cuando te marcan es cuando te vienes arriba y es cuando el equipo empieza a jugar. A balón parado estamos muertos y tenemos un grave problema en el LD.


Eric Martín Gasulla"
@Eric18Martin,"Sep 2, 2023","Levante 1-1 Real Oviedo. FINAL

En solo 45 minutos, después de regalar un gol en ABP, es muy difícil remontar incluso con superioridad numérica

Se ha tenido. Ese gol de Dani Gómez… La idea de Calleja de cambiar de banda a Andrés García mató al equipo.

8/12 puntos. SEGUIMOS🐸💪🏻
Cuberos."
@javicbrs,"Sep 2, 2023","Esta es la realidad del Levante de Calleja, para ganar necesitas dos goles porque tú defensa es de pena. Además que tienes que rezar para que jugadores que son sospechosos habituales, te duren 4 partidos. Defensa flojísima y contando que tampoco estamos sobrados de goles,pues eso
Carlos Cervelló"
@cervello11,"Sep 2, 2023","Cuando mejor estaba el Levante, Calleja se cargó el partido por esto. Increíblemente no leyó y no le dio continuidad a ese juego exterior y cargar el área de centros. No lo entiendo!!
Quote
Carlos Cervelló"
@cervello11,"Sep 2, 2023","El partido está para jugar por fuera y cargar el área de centros laterales y Calleja se ha cargado la profundidad por banda derecha con Carlos que tiende a ir hacia adentro y un capa MUY FUERA DE FORMA incapaz de llegar a línea de fondo.
Bullcevic⚑"
@bullcevic,"Sep 2, 2023","Pues esto es el Levante de Calleja, una auténtica mierda absoluta. No tuvimos bastante la temporada pasada."
