Username,Date,Content
@joserrayanes,Sep 23,"Replying to 
@Bisueno2
 and 
@Vitorin_Oviedo
Abelardo - Oro
Carrión - Plata
Calleja - Bronce
Y si no cambia mucho la cosa Sarabia Diploma Olimpico
Big Data Sporting"
@bigdataRSG,Sep 23,"‼️‼️ El Real Oviedo YA ha contactado con Miguel Ángel Ramírez por si Calleja es destituido. Solo ha sido una toma de contacto para saber predisposición y condiciones.

La respuesta del entrenador, la misma que Otero en su día.
#JavierCallejaOut (5/12)"
@Nanizzzzzzzzz,Sep 23,"Mi cara cuando veo que el Oviedo va empate y a calleja no se le ocurre otra cosa que meter a Paulino:
Quote
Apolo"
@aapoloribera,Sep 21,"Debería de cortarme el pelo ya?💇
Grada Oviedo"
@GradaOviedo,Sep 23,"El presidente del #RealOviedo poniendo el punto de autocrítica que gran parte de la afición le ha exigido a Calleja. Efectivamente, un gran presupuesto no garantiza resultados pero sí genera exigencia. La importancia de ganar en casa, clave para el desarrollo de este tramo.
OviedoBold"
@OviedoBold,Sep 23,"Esto es muy fácil 
@MrAncelotti
 , ficha a Javier Calleja, gran entrenador, muy contrastado para tu staff!
Quote
Relevo"
@relevo,Sep 23,"Ancelotti pide un fichaje para su cuerpo técnico.

▪ El staff considera que les falta ayuda y que la mejora del rendimiento pasa por aumentar su plantilla.

@JorgeCPicon 🤝 @AlfredoMatillaG 
https://relevo.com/futbol/liga-primera/cuerpo-tecnico-real-madrid-queda-20240923005439-nt.html
Show more
Cedido por el grupo 🇺🇾"
@lockedcensurado,Sep 23,"No será capaz el 
@VillarrealCF
, el mismo que ayudó al Real Oviedo a meterse en Playoff, qué tuvo a Santi y a Calleja de ganar a la UDLP y echar a Carrion, no? No será la justicia tan poética verdad? Me parece imposible.
Háganlo hermanos 💛


Uvieín"
@baldwin_azul,Sep 23,"Replying to 
@Vitorin_Oviedo
Calleja seguro.
Azul Carbayón"
@azulcarbayon,Sep 22,"Martín Peláez, en la presentación del acuerdo con GAM, habló de la situación del equipo, de Javi Calleja, del límite salarial y de los plazos de la nueva ciudad deportiva.

«El Oviedo actual todavía no es lo que esta entidad quiere» ⬇
From lavozdeasturias.es
Toni Figueres Muñoz"
@antoniofigueres,Sep 22,"Replying to 
@RealOviedo
Es el tercer año consecutivo que Calleja va a hacer el ridículo con la mejor plantilla de segunda. Si el Oviedo es un club serio al partido contra el Levante ya debería venir con otro entrenador. Nuestra directiva lo aguantó lo indecible y esa ha sido nuestra condena. Ánimo!
sr pitufo"
@srpitufo3,Sep 22,"Replying to 
@Vitorin_Oviedo
Calleja … dos partidos …
Victor rocf"
@Vitorin_Oviedo,Sep 22,"Tengo una sería duda,no sé cuál caerá primero o Calleja o Albes.
Liga HyperMotion Real Oviedo"
@HyperMotionRO,Sep 22,"Replying to 
@RealOviedo
Vais todos o queda Calleja en la Comunidad Valenciana?
Killer Asturias"
