Partido,Sentimiento Global,Porcentaje positivos,Porcentaje neutros,Porcentaje negativos,Numero de Tweets,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha,Despedido
12 Aug,-0.10662222222222223,0.0,77.77777777777779,22.22222222222222,9,-4,22,-3,1,0,-17,0,0
19 Aug,0.0,0.0,100.0,0.0,1,1,14,5,0,0,-9,0,0
28 Aug,-0.4621,0.0,0.0,100.0,1,-1,17,2,0,0,-12,3,0
03 Sep,-0.12191428571428571,0.0,71.42857142857143,28.57142857142857,7,-1,21,-2,1,0,-16,3,0
09 Sep,-0.18479166666666666,0.0,58.333333333333336,41.66666666666667,12,-1,22,-3,1,0,-17,3,0
17 Sep,-0.181975,0.0,75.0,25.0,4,2,17,2,0,0,-12,3,0
22 Sep,0.175075,25.0,75.0,0.0,4,1,12,7,0,0,-7,3,0
30 Sep,0.01100000000000001,25.0,50.0,25.0,4,3,9,10,0,0,-4,6,0
05 Oct,0.0,0.0,100.0,0.0,4,2,8,11,0,0,-3,9,0
08 Oct,0.0,0.0,100.0,0.0,2,1,7,12,0,0,-2,12,0
