Username,Date,Content
@JosAlbertoFern6,"Sep 7, 2022","Replying to 
@Novoj1926
Otra cosa toy de les viudes de Ziganda, hasta los huevos. A ver si lo entendemos, cuando Ziganda era entrenador de mi equipo lo defendía, ahora toca defender a Bolo,  que es el entrenador de mi club, el Real Oviedo.  Lo entendemos todos ahora. Es que parecemos anormales.
NachoGF"
@NachoGF3,"Sep 6, 2022","18:http://30.Se juega en el CAO un 
@futbolcao
 
@RealOviedo
 de infantiles.Un nenín del Oviedo se lesiona (¡espero q no sea nada!).Un entrenador lo saca en brazos del campo,hasta la valla.Ahí quién lo coge en brazos hasta la camilla es Jon Pérez Bolo.#DetallesDeCrack
Killer Asturias"
@killer_asturias,"Sep 6, 2022","😎 Aquí sí hay 'feeling'

📸 Melendi animó al Oviedo desde uno de los palcos del Tartiere, y tras el encuentro se fotografió con Bolo

🔙 El cantante deja atrás sus 'recados' a Ziganda
killerasturias.com
Aquí sí hay 'feeling' | Killer Asturias
Este lunes, el Carlos Tartiere contó con una visita muy especial, con motivo del encuentro del Real Oviedo ante el Levante. Entre los 13.519 espectadores que ayer se dieron cita en las gradas, se...
Suzy & Los Quattro"
@suzylosquattro,"Sep 6, 2022","A Barcelona no. Van fer la plaça de toros d'Oviedo amb Acid Eaters (presente!) i un bolo a Madrid de teloners de U2 si no m'equivoco
DeportesCOPEAsturias"
@DeportesCopeA,"Sep 6, 2022","📼 El podcast de #DCA 

🔵 Post Oviedo-Levante
🎙️ Bolo, Enrich y Tarín
💥 'Tiempo de Opinión'
🗣️ 
@InigoDominguez
 
@NachoAzparren
 
🔴 Presentación Bamba y Milovanovic
🎤 Habla David Guerra
🏎️ 
@RallyPrincesa
 https://cope.es/emisoras/asturias/asturias-provincia/deportes-cope-asturias/audios/deportes-cope-asturias-martes-septiembre-2022-20220906_2045344
ElDesmarque Oviedo"
@DMQOviedo,"Sep 6, 2022","Buenas noticias para Bolo: un fichaje del Real Oviedo vuelve al trabajo https://eldesmarque.com/asturias/oviedo/noticias-2/212775-miguelon-vuelve-a-trabajar-a-las-ordenes-de-bolo
ElDesmarque Asturias"
@DMQAsturias,"Sep 6, 2022","Buenas noticias para Bolo: un fichaje del Real Oviedo vuelve al trabajo #RealOviedo https://eldesmarque.com/asturias/oviedo/noticias-2/212775-miguelon-vuelve-a-trabajar-a-las-ordenes-de-bolo
Ibo"
@ibodiaz9,"Sep 6, 2022","El Oviedo hace un partido serio y con cosas positivas e ilusionantes. Nos alegramos por ello? Qué va! Venimos a Twitter a criticar a Aceves, Rama y compañía y a decirle el 11 a Bolo para el próximo partido porque tampoco tiene ni idea. Cansáis mucho. #RealOviedoLevante
Vamosmilevante"
@VamosmilevanteC,"Sep 6, 2022","Replying to 
@granotil_
 and 
@Chufergranota
Con la pasta que maneja el Levante, muy superior a la del Oviedo por ejemplo, no creo que haya sido la pasta la diferencia entre firmar unos a Bolo y otros a Gru
Pablo Fernández"
@pablofg_21,"Sep 6, 2022","A pesar de que el Oviedo de Bolo no tiene problema alguno en iniciar en largo, el técnico mete cada día a los porteros en posesiones y juegos de posición.

Y eso se nota en los partidos —Tomeu lo está haciendo genial— a la hora de interpretar el juego y elegir qué pase dar.


marcos menendez"
